Company Name,Agency,Instrument Type,Instrument_Family,Fee_Avg_Lakhs,Fee_Low_Lakhs,Fee_High_Lakhs,Rating,Rating Date,Amount Cr,Sector,Pipeline_Window,Current Urgency,Call_Window,NCD_Flag,Why Target,ACER Pitch Angle
Dee Vee Projects Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,19-Feb-2026,7.6,Construction,October 2026,LOW,Nov Wk3 (Nov 15-21),Standard,INC rating hits HOT threshold on 2026-11-16 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Telawne Power Equipments Pvt. Ltd.,IND-RA,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B/A4,24-Nov-2025,28.0,Manufacturing,October 2026,MEDIUM,Nov Wk4 (Nov 22-30),NCD — SEBI License Required,INC rating hits ULTRA HOT threshold on 2026-11-24 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before IND-RA backlog builds
Sree Astalaxmi Spinning Mills Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,28-Feb-2026,1.3,Textiles,October 2026,LOW,Nov Wk4 (Nov 22-30),Standard,INC rating hits HOT threshold on 2026-11-25 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Vindhyawashini Marine Services Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,B-,01-Oct-2025,11.6,Other,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Shree Bhavya Fabrics Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,01-Oct-2025,6.5,Textiles,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-01 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Mapsko Builders Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,03-Oct-2025,250.56,Construction,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Alok Buildtech Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,06-Jan-2026,45.45,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Plus Medicare Hospitals Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,06-Apr-2026,35.0,Healthcare,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Mapsko Builders Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,03-Oct-2025,30.0,Construction,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,B+,06-Apr-2026,11.16,Agro & Food,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Titan-Antony Aviation India Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,03-Oct-2025,11.0,Logistics,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B+,06-Apr-2026,5.8,Agro & Food,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,B+,06-Apr-2026,5.27,Agro & Food,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Archon Powerinfra India Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,06-Jan-2026,4.5,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Ananya Engineering Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B-/A4,06-Jan-2026,4.0,Manufacturing,October 2026,LOW,Oct Wk1 (Oct 1-7),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
M J Grain Products Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,06-Apr-2026,1.3,Agro & Food,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Titan-Antony Aviation India Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,03-Oct-2025,1.0,Logistics,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Ananya Engineering Pvt. Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,06-Jan-2026,0.5,Manufacturing,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
M J Grain Products Pvt. Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,06-Apr-2026,0.5,Agro & Food,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-03 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Whitelotus Industries Ltd.,BRICKWORK,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B+,07-Jan-2026,45.33,Manufacturing,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,07-Apr-2026,4.0,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,07-Apr-2026,2.48,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Sree Mangayarkarasi Mills Pvt. Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,07-Apr-2026,0.05,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Whitelotus Industries Ltd.,BRICKWORK,Non-Fund-Based,Non-Fund-Based,3.0,2.0,4.0,A 4,07-Jan-2026,0.0,Manufacturing,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-04 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Jaipur Rugs Co. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,BB-/A4,08-Jan-2026,75.0,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Supermint Exports Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,A 4,08-Apr-2026,24.23,Logistics,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
T C Motors Pvt. Ltd.,CARE,Fund-Based,Fund-Based Facilities,5.0,3.0,7.0,B-,08-Apr-2026,18.23,Automobiles,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Supermint Exports Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B,08-Apr-2026,12.91,Logistics,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Supermint Exports Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B/A4,08-Apr-2026,4.11,Logistics,October 2026,LOW,Oct Wk1 (Oct 1-7),NCD — SEBI License Required,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
T C Motors Pvt. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,08-Apr-2026,3.21,Automobiles,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Jaipur Rugs Co. Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,BB-,08-Jan-2026,2.43,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-05 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Apr-2026,15.0,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Apurvakriti Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Apr-2026,15.0,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Formulated Polymers Pvt. Ltd.,BRICKWORK,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,09-Jan-2026,12.0,Chemicals & Pharma,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Four Star International Ltd.,CARE,Term Loan,Term Loan,5.0,3.0,7.0,B-,09-Jan-2026,11.18,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Arora Construction Co. Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,06-Oct-2025,10.0,Construction,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Shree Bhavya Fabrics Ltd.,CRISIL,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,06-Oct-2025,6.5,Textiles,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Classic Enterprises Pvt. Ltd.,CARE,NCD/Bond,NCD / Bond,20.0,15.0,25.0,B-/A4,09-Jan-2026,5.9,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),NCD — SEBI License Required,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Apr-2026,5.0,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
Apurvakriti Infrastructure Pvt. Ltd.,CARE,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Apr-2026,5.0,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Anvitha Life Care Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B,09-Apr-2026,4.0,Automobiles,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Aakarshit Ice & Cold Storage Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,06-Oct-2025,3.5,Other,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Purvanchal Flour Mill Pvt. Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,09-Jan-2026,3.03,Agro & Food,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Vamshi Rubber Ltd.,BRICKWORK,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,09-Jan-2026,3.0,Chemicals & Pharma,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Aakarshit Ice & Cold Storage Pvt. Ltd.,CRISIL,Term Loan,Term Loan,5.0,3.0,7.0,B+,06-Oct-2025,2.49,Other,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Vamshi Rubber Ltd.,BRICKWORK,Term Loan,Term Loan,5.0,3.0,7.0,C,09-Jan-2026,2.06,Chemicals & Pharma,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before BRICKWORK backlog builds
Archon Powerinfra India Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4+,09-Apr-2026,2.0,Construction,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits MEDIUM threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
Four Star International Ltd.,CARE,Letter of Credit,Letter of Credit,3.0,2.0,4.0,A 4,09-Jan-2026,2.0,Other,October 2026,LOW,Oct Wk1 (Oct 1-7),Standard,INC rating hits HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CARE backlog builds
Aadarsh Pvt. Ltd.,CRISIL,Bank Guarantee,Bank Guarantee,4.0,3.0,5.0,A 4,06-Oct-2025,1.5,Other,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before CRISIL backlog builds
S S Sea Food Pvt. Ltd.,ACUITE,Term Loan,Term Loan,5.0,3.0,7.0,B-,06-Oct-2025,1.47,Agro & Food,October 2026,MEDIUM,Oct Wk1 (Oct 1-7),Standard,INC rating hits ULTRA HOT threshold on 2026-10-06 — first call window,Get ahead of the Oct/Nov renewal rush; start ACER process now before ACUITE backlog builds
