Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Aquapharm Chemicals Pvt. Ltd. [Merged],CRISIL,Short-term loan,A 1+,2026-09-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
P C B L Chemical Ltd.,CRISIL,Long term Loans,AA,2026-09-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Saraswati Agro Chemicals (India) Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2026-09-01,LOW,Chemicals,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Formulated Polymers Pvt. Ltd.,BRICKWORK,Term loans,C,2026-09-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Verdant Life Sciences Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-09-01,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Lincoln Pharmaceuticals Ltd.,CRISIL,Fund based financial facility/instrument,A,2026-09-01,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gharda Chemicals Ltd.,CRISIL,Fund based financial facility/instrument,AA,2026-09-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Anish Pharma Equip Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2026-09-01,LOW,Pharma/Biotech,Active,Withdrawn,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Dhanveen Pigments Pvt. Ltd.,CARE,Term loans,BBB-,2026-09-01,LOW,Chemicals,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Kanoria Chemicals & Inds. Ltd.,CARE,Term loans,BB+,2026-09-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Orchid Pharma Ltd.,CARE,Bank Guarantee,A 2,2026-08-04,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pink City Expressway Pvt. Ltd.,CARE,Term loans,D,2026-08-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Khushbu Dye-Chem Pvt. Ltd.,CRISIL,Letter Of credit,BB+,2026-08-04,LOW,Chemicals,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Intas Pharmaceuticals Ltd.,CARE,Non-government debt,AA+/A1+,2026-08-04,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
New Kandla Salt & Chemical Co. Pvt. Ltd.,CARE,Term loans,BBB-,2026-08-04,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
General Petrochemicals Pvt. Ltd.,ACUITE,Bank Guarantee,A 3+,2026-08-04,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gulnar Plastics Pvt. Ltd.,CARE,Non-government debt,BBB-/A3,2026-08-04,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Acebright (India) Pharma Pvt. Ltd.,CARE,Term loans,BB,2026-08-04,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Bliss G V S Pharma Ltd.,ICRA,Non-government debt,A-/A2+,2026-08-04,LOW,Pharma/Biotech,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Mittal Pigment Pvt. Ltd.,BRICKWORK,Letter Of credit,A 4,2026-08-01,LOW,Chemicals,INC,Withdrawn,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Hindusthan Speciality Chemicals Ltd.,CARE,Non-government debt,AA-/A1+,2026-08-01,LOW,Chemicals,Active,Upgraded,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Pharma Access Pvt. Ltd.,CRISIL,Long term Loans,BB+,2026-08-01,LOW,Pharma/Biotech,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Glenfin Chemicals Pvt. Ltd.,CARE,Term loans,BBB-,2026-08-01,LOW,Chemicals,Active,Withdrawn,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
A L A Chemicals Pvt. Ltd.,CARE,Bank Guarantee,A 3+,2026-08-01,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Environ Speciality Chemicals Pvt. Ltd.,CARE,Non-government debt,BB+/A4,2026-07-04,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Glassco Laboratory Equipments Pvt. Ltd.,CARE,Non-fund-based financial facility/instrument,A 2,2026-07-04,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
D C M Shriram Fine Chemicals Ltd.,CARE,Non-fund-based financial facility/instrument,A 2+,2026-07-04,LOW,Chemicals,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Roop Polymers Ltd.,CARE,Bank Guarantee,A 1,2026-07-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Aurigene Pharmaceutical Services Ltd.,ICRA,Term loans,AA+(CE),2026-07-01,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Anya Polytech & Fertilizers Ltd.,CARE,Fund based financial facility/instrument,B,2026-07-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Ritzy Chemicals Pvt. Ltd.,CARE,Non-government debt,D,2026-07-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Suyash Chemical & Fertilizer Pvt. Ltd.,BRICKWORK,Bank Guarantee,B+,2026-06-04,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Assorted Plastics Pvt. Ltd.,BRICKWORK,Term loans,C,2026-06-04,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Sun Pharma Advanced Research Co. Ltd.,ACUITE,Long term Loans,AA-,2026-06-02,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Sovereign Pharma Pvt. Ltd.,CARE,Non-fund-based financial facility/instrument,A 1,2026-06-02,LOW,Pharma/Biotech,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Prasol Chemicals Ltd.,ACUITE,Long term Loans,A+,2026-06-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Dayal Fertilizers Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BB+,2026-06-01,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Sarna Chemicals Pvt. Ltd.,CARE,Letter Of credit,A 2,2026-06-01,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Think Gas Bhopal Pvt. Ltd.,CARE,Term loans,A,2026-05-03,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Onesource Specialty Pharma Ltd.,CARE,Term loans,BBB+,2026-05-03,LOW,Pharma/Biotech,Active,Withdrawn,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Sai Fertilizers Pvt. Ltd.,CARE,Non-government debt,A/A1,2026-05-03,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Sonalac Paints & Coatings Ltd.,ACUITE,Long term Loans,B,2026-05-03,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Saklecha Solventex Pvt. Ltd.,BRICKWORK,Term loans,C,2026-05-03,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Cadila Pharmaceuticals Ltd.,IND-RA,Non-fund based working capital limit,A 2,2026-05-02,LOW,Pharma/Biotech,Active,Downgraded,Recently downgraded — evaluate switching.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Gulbrandsen Catalysts Pvt. Ltd.,CRISIL,Letter Of credit,A 1,2026-05-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Andhra Petrochemicals Ltd.,ICRA,Non-fund based working capital limit,A 2+,2026-05-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Finkurve Financial Services Ltd.,CRISIL,Long term Loans,BBB,2026-05-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Dirco Polymers Pvt. Ltd.,CARE,Letter Of credit,A 4+,2026-05-01,LOW,Chemicals,INC,Downgraded,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Bony Polymers Pvt. Ltd.,CARE,Term loans,BBB+,2026-05-01,LOW,Chemicals,INC,Reaffirmed,INC — not cooperating with current rater. Chemical/Pharma company needs new rating agency.,INC at current agency — ACER provides independent Chem/Pharma sector expertise.,d365
Vivek Pharma-Chem(India) Ltd.,IND-RA,Term loans,BBB,2026-05-01,LOW,Pharma/Biotech,Active,Rating Watch,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Credo Life Sciences Pvt. Ltd.,ICRA,Term loans,BB+,2026-05-01,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Centaur Pharmaceuticals Pvt. Ltd.,CRISIL,Letter Of credit,A 1,2026-04-03,LOW,Pharma/Biotech,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Zyphar'S Pharmaceutics Pvt. Ltd.,CARE,Non-government debt,BB-/A4,2026-04-03,LOW,Pharma/Biotech,Active,Initial Rating,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Viswaat Chemicals Ltd.,CRISIL,Bank Guarantee,A 2+,2026-04-03,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Manali Petrochemicals Ltd.,CARE,Non-government debt,A+/A1+,2026-04-03,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Suyash Chemical & Fertilizer Pvt. Ltd.,ACUITE,Term loans,BB+,2026-04-02,LOW,Chemicals,Active,Reaffirmed,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
Jayashree Polymers Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,BBB+,2026-04-02,LOW,Chemicals,Active,Rating Watch,Active Chem/Pharma company — ACER can offer rating.,Your rating is due for renewal. ACER offers faster turnaround with sector-specialist analysts.,d365
