Company Name,Agencies Used,Agency Count,Last Rating Date,Rating,Instrument,Urgency,Last Rating Urgency,Sector,INC_Flag,Why Target,Pitch Angle
Ginni Global Pvt. Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-10-23,B,Fund based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shiva Structures Pvt. Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-11-25,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
P N B Housing Finance Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-11-27,AA+,Long term Loans,MEDIUM,MEDIUM,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mahindra & Mahindra Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-12-03,AAA/A1+,Non-government debt,MEDIUM,MEDIUM,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
L & T Finance Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2025-12-11,PP-MLD AAA,Debentures / Bonds / notes / bills,MEDIUM,MEDIUM,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gajavelli Spinning Mills Pvt. Ltd.,ACUITE | BRICKWORK | CARE | ICRA,4,2025-12-22,BB,Term loans,LOW,LOW,Textiles,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Oswal Pumps Ltd.,ACUITE | BRICKWORK | CRISIL | ICRA,4,2025-12-26,A 1,Letter Of credit,LOW,LOW,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Power Co. Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-01-08,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Edelweiss Asset Reconstruction Co. Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-01-09,A+,Long term Loans,LOW,LOW,Construction,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
E C L Finance Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-01-12,A 4,Letter Of credit,LOW,LOW,BFSI,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mahalaxmi India Pvt. Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-01-20,A 4,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bank Of Maharashtra,ACUITE | BRICKWORK | CARE | ICRA,4,2026-01-22,AA+,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sar Senapati Santaji Ghorpade Sugar Factory Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-01-23,D,Term loans,LOW,LOW,Agro/Food,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dipanshu Promoter & Builder Pvt. Ltd.,BRICKWORK | CRISIL | ICRA | IND-RA,4,2026-02-17,A 4,Bank Guarantee,LOW,LOW,Construction,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Indian Overseas Bank,CARE | CRISIL | ICRA | IND-RA,4,2026-02-17,AA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dee Vee Projects Ltd.,ACUITE | CARE | CRISIL | IND-RA,4,2026-02-19,BB-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Chaudhary Timber Inds. Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL | IND-RA,4,2026-02-24,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kamarajar Port Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-02-25,AA,Debentures / Bonds / notes / bills,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mahalaxmi Associates Pvt. Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-02-25,A 4,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bank Of Baroda,CARE | CRISIL | ICRA | IND-RA,4,2026-02-27,AA+,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
I D F C First Bank Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-03-02,AA+,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
State Bank Of India,CARE | CRISIL | ICRA | IND-RA,4,2026-03-05,AAA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Canara Bank,CARE | CRISIL | ICRA | IND-RA,4,2026-03-12,AAA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ecap Equities Ltd.,ACUITE | CARE | CRISIL | ICRA,4,2026-03-12,PP-MLD A+,Debentures / Bonds / notes / bills,LOW,LOW,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Siddapur Distilleries Ltd.,ACUITE | BRICKWORK | CARE | IND-RA,4,2026-03-12,BB+,Term loans,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
National Bank For Financing Infrastructure & Devp.,CARE | CRISIL | ICRA | IND-RA,4,2026-03-16,AAA,Long term Loans,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Winfab Equipments Pvt. Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-03-19,A 4,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mangal Sponge & Steel Pvt. Ltd.,BRICKWORK | CARE | CRISIL | ICRA,4,2026-03-20,A 4,Non-fund-based financial facility/instrument,LOW,LOW,Steel & Metals,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
N L C India Ltd.,ACUITE | CARE | CRISIL | IND-RA,4,2026-03-25,AAA,Term loans,LOW,LOW,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pradhama Multi Speciality Hospitals & Research Ins Titute Ltd.,ACUITE | CARE | CRISIL | IND-RA,4,2026-03-27,D,Long term Loans,LOW,LOW,Healthcare,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
R E C Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-03-31,AAA,Debentures / Bonds / notes / bills,LOW,LOW,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Uttarakhand Engineering Products Pvt. Ltd.,BRICKWORK | CARE | CRISIL | IND-RA,4,2026-03-31,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adani Hybrid Energy Jaisalmer One Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-01,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adani Ports & Special Economic Zone Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-01,AAA/A1+,Non-government debt,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
A U Small Finance Bank Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-02,AA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Airports Authority Of India,ACUITE | CARE | CRISIL | ICRA,4,2026-04-02,AAA/A1+,Non-government debt,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ashok Bricks Inds. Pvt. Ltd.,BRICKWORK | CRISIL | ICRA | IND-RA,4,2026-04-02,D,Non-government debt,LOW,LOW,Construction,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kohinoor Feeds & Fats Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL | IND-RA,4,2026-04-02,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Bajaj Auto Credit Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-06,AAA,Term loans,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
A & T Infracon Pvt. Ltd.,ACUITE | CARE | CRISIL | IND-RA,4,2026-04-08,A 3,Non-fund based working capital limit,LOW,LOW,Infrastructure,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Axis Bank Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-08,AAA,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
H D F C Bank Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-08,AAA/A1+,Non-government debt,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Capital Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-08,AA+,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Apurvakriti Infrastructure Pvt. Ltd.,ACUITE | CARE | CRISIL | ICRA,4,2026-04-09,A 4,Bank Guarantee,LOW,LOW,Infrastructure,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Prachi (India) Pvt. Ltd.,ACUITE | BRICKWORK | CARE | IND-RA,4,2026-04-09,C,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
North Eastern Electric Power Corpn. Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-10,AA+,Term loans,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dalmia Cement (Bharat) Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-15,AA+,Term loans,LOW,LOW,Construction,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Housing & Urban Devp. Corpn. Ltd.,ACUITE | CARE | ICRA | IND-RA,4,2026-04-16,AAA,Debentures / Bonds / notes / bills,LOW,LOW,Construction,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adani Power Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-17,A 1+,Bank Guarantee,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
N T P C Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-20,AAA,Debentures / Bonds / notes / bills,LOW,LOW,Other/Unknown,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
New Modern Technomech Pvt. Ltd.,ACUITE | BRICKWORK | CARE | CRISIL,4,2026-04-21,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Spandana Sphoorty Financial Ltd.,CARE | CRISIL | ICRA | IND-RA,4,2026-04-24,BBB+,Term loans,LOW,LOW,BFSI,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Nuclear Power Corpn. Of India Ltd.,ACUITE | CARE | CRISIL | IND-RA,4,2026-04-28,AAA,Long term Loans,LOW,LOW,Infrastructure,N,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Telawne Power Equipments Pvt. Ltd.,ACUITE | CRISIL | ICRA | IND-RA,4,2026-04-28,B/A4,Non-government debt,LOW,LOW,Infrastructure,Y,Uses 4 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
T M F Holdings Ltd.,CARE | CRISIL | ICRA,3,2025-05-28,AA+/A1+,Non-government debt,HIGH,HIGH,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tata Motors Finance Ltd. [Merged],CARE | CRISIL | ICRA,3,2025-05-28,AA+,Long term Loans,HIGH,HIGH,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Indigrid Infrastructure Trust,CRISIL | ICRA | IND-RA,3,2025-06-06,AAA,Term loans,HIGH,HIGH,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
B C Bhuyan Constructions Pvt. Ltd.,ACUITE | CRISIL | IND-RA,3,2025-06-18,B+,Term loans,MEDIUM,MEDIUM,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Grasim Industries Ltd.,CARE | CRISIL | ICRA,3,2025-07-09,AAA,Term loans,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Amar Infrastructure Ltd.,ACUITE | BRICKWORK | IND-RA,3,2025-07-14,A 4,Bank Guarantee,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Shree Bholey Alloys Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-07-18,BBB-,Fund based financial facility/instrument,MEDIUM,MEDIUM,Steel & Metals,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
D S Toll Road Ltd.,BRICKWORK | CARE | ICRA,3,2025-07-28,B,Term loans,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Firozabad Ceramics Pvt. Ltd.,ACUITE | CARE | CRISIL,3,2025-07-30,B-,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Delhi International Airport Ltd.,CRISIL | ICRA | IND-RA,3,2025-08-05,AA,Term loans,MEDIUM,MEDIUM,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pride Coke Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2025-08-13,D,Term loans,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mangal Electrical Inds. Ltd.,BRICKWORK | CARE | IND-RA,3,2025-08-18,BB,Term loans,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adani Total Gas Ltd.,CARE | CRISIL | ICRA,3,2025-08-21,A 1+,Non-fund-based financial facility/instrument,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
J M Mhatre Infra Pvt. Ltd.,BRICKWORK | CARE | IND-RA,3,2025-08-28,BB-,Term loans,MEDIUM,MEDIUM,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mother India Agrofoods Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-08-29,B+,Term loans,MEDIUM,MEDIUM,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aadhar Housing Finance Ltd.,CARE | ICRA | IND-RA,3,2025-09-02,AA,Term loans,MEDIUM,MEDIUM,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
E S D S Software Solution Ltd.,ACUITE | CRISIL | IND-RA,3,2025-09-03,A 2,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ran India Steels Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-09-09,D,Letter Of credit,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Gulzar Motors Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-09-10,A 4,Bank Guarantee,MEDIUM,MEDIUM,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Rai Metal Works Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2025-09-10,A 4,Letter Of credit,MEDIUM,MEDIUM,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
