Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
AMU Leasing Private Limited,Infomerics,Long Term Fund Based Bank Facilities - Proposed,IVR BBB- (Assigned),2025-06-04,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Save Microfinance Private Limited,Infomerics,Long Term Bank Facilities - Term Loan,IVR BBB (Reaffirmed),2025-05-27,HIGH,BFSI,Active,Negative,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Subhlakshmi Finance Private Limited,Infomerics,Long Term Facilities,IVR BB+ (INC)(Downgraded),2025-05-21,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Genesis Finance Co. Ltd.,BRICKWORK,Term loans,B,2025-05-12,HIGH,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Punjab National Bank,ICRA,Debentures / Bonds / notes / bills,AAA,2025-05-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Axis Finance Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD AAA,2025-05-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
B W D A Finance Ltd.,ACUITE,Long term Loans,BB,2025-05-08,HIGH,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
E C L Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD A+,2025-05-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Edelweiss Financial Services Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD A+,2025-05-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kotak Mahindra Bank Ltd.,ICRA,Debentures / Bonds / notes / bills,AAA,2025-05-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aadhar Housing Finance Ltd.,ICRA,Long term Loans,AA,2025-05-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Moneyboxx Finance Ltd.,IND-RA,Term loans,BBB,2025-05-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Srinidhi Credit Pvt. Ltd.,ACUITE,Long term Loans,BBB-,2025-05-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Lendingkart Finance Limited,Infomerics,Proposed Long Term Fund Based Bank Facilities,IVR A+ (Upgraded),2025-05-05,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Glowmore Finance Private Limited,Infomerics,Proposed Long-term Bank Facilities,IVR B- (INC)(Downgraded),2025-04-30,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Nido Home Finance Limited,Infomerics,Proposed Commercial Paper (CPs),IVR A1+ (Assigned),2025-04-28,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Red Fort Capital Finance Company Private Limited,Infomerics,Proposed Non-Convertible Debentures,Withdrawn,2025-04-28,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Velicham Finance Private Limited,Infomerics,Long Term Fund Based Facilities,IVR BB+ (Upgraded and Withdrawn),2025-04-23,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
The Andhra Bank Farmers Service Co-Operative Society Limited,Infomerics,Fund based - Long Term bank facilities - Cash Credit,IVR B+ (Assigned),2025-04-21,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Satin Housing Finance Limited,Infomerics,Fund Based - Long Term Bank Facilities - Term loans,IVR A- (Reaffirmed)(Withdrawn),2025-04-16,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Navnidhi Continental Private Limited,Infomerics,Long Term Facilities,IVR BB+ (Assigned),2025-04-14,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
L & T Finance Ltd.,IND-RA,Non-government debt,AAA/A1+,2025-04-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Canbank Factors Ltd.,CRISIL,Long term Loans,AA,2025-04-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Infrastructure Finance Co. Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,AAA,2025-04-11,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Purple Finance Ltd.,IND-RA,Term loans,BBB-,2025-04-11,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Chemm Finance Ltd.,IND-RA,Term loans,B+,2025-04-11,HIGH,BFSI,Active,Downgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Lendingkart Finance Ltd.,CRISIL,Long term Loans,AA-,2025-04-11,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
S M F G India Home Finance Co. Ltd.,CRISIL,Term loans,AAA,2025-04-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Indian Bank,BRICKWORK,Debentures / Bonds / notes / bills,AAA,2025-04-09,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Factoring & Finance Solutions Pvt. Ltd.,ACUITE,Long term Loans,A-,2025-04-09,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Goldman Sachs (India) Finance Pvt. Ltd.,ICRA,Fund based financial facility/instrument,AAA,2025-04-08,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aham Housing Finance Ltd.,CRISIL,Long term Loans,BBB-,2025-04-08,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
P N B Housing Finance Ltd.,CARE,Non-government debt,AA+/A1+,2025-04-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aadhar Housing Finance Ltd.,CARE,Long term Loans,AA+,2025-04-07,HIGH,BFSI,Active,Upgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Nuvama Wealth Finance Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD AA,2025-04-07,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Factoring & Finance Solutions Pvt. Ltd.,CARE,Non-government debt,BBB+/A2,2025-04-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Home First Finance Co. India Ltd.,IND-RA,Term loans,AA,2025-04-06,HIGH,BFSI,Active,Upgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Export-Import Bank Of India,CRISIL,Debentures / Bonds / notes / bills,AAA,2025-04-06,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Five-Star Business Finance Ltd.,CARE,Non-government debt,AA-/A1+,2025-04-06,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Adhikar Microfinance Private Limited,Infomerics,Long Term Bank Facilities- Term Loan,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Stree Nidhi Credit Co-Operative Federation Limited (Andhra Pradesh),Infomerics,Fund Based - Long Term facilities - Working Capital Facilities,IVR A (Reaffirmed),2025-03-26,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Tourism Finance Corporation of India Limited,Infomerics,Proposed Commercial Paper (CPs),IVR A1+ (Reaffirmed),2025-03-25,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
ICL Fincorp Limited,Infomerics,Non-Convertible Debentures,IVR BB (INC) (Reaffirmed),2025-03-21,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Bank of Maharashtra,Infomerics,Basel-III Compliant Additional Tier-I Bonds,IVR AA (Reaffirmed),2025-03-13,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Bank Note Paper Mill India Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 1+,2025-03-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Abans Finance Pvt. Ltd.,ACUITE,Debentures / Bonds / notes / bills,PP-MLD BBB+,2025-03-10,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aham Housing Finance Ltd.,IND-RA,Term loans,BBB-,2025-03-10,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Toyota Financial Services India Ltd.,ICRA,Non-government debt,AAA/A1+,2025-03-10,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Svamaan Financial Services Pvt. Ltd.,CRISIL,Term loans,A+,2025-03-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
L & T Finance Ltd.,CRISIL,Debentures / Bonds / notes / bills,AAA,2025-03-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Svamaan Financial Services Pvt. Ltd.,CARE,Term loans,A,2025-03-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Motilal Oswal Home Finance Ltd.,CRISIL,Long term Loans,AA,2025-03-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
B W D A Finance Ltd.,IND-RA,Term loans,BBB-,2025-03-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
D C B Bank Ltd.,CRISIL,Debentures / Bonds / notes / bills,AA-,2025-03-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aptus Value Housing Finance India Ltd.,CARE,Bank Guarantee,AA,2025-03-07,HIGH,BFSI,Active,Upgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Yes Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA-,2025-03-07,HIGH,BFSI,Active,Upgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Bank Of Maharashtra,CARE,Debentures / Bonds / notes / bills,AA+,2025-03-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Supra Pacific Financial Services Limited (SPFSL,Infomerics,Long Term Fund  Based Facility - Proposed Term  Loans,IVR BBB- (Assigned),2025-03-07,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
G I C Housing Finance Ltd.,CRISIL,Long term Loans,AA+,2025-03-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Punjab and Sind Bank (PSB),Infomerics,BASEL III Complaint Tier II Bonds,IVR AA (Reaffirmed),2025-03-03,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Kalanjiam Development Financial Services,Infomerics,Long Term Bank Facilities - Overdraft,IVR BB- (Assigned),2025-02-25,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Stree Nidhi Credit Co-operative Federation Limited (Telangana),Infomerics,Long Term Fund Based Facility - Proposed CC/OD,IVR A (Reaffirmed),2025-02-12,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Eclear Leasing & Finance Pvt. Ltd.,CARE,Term loans,BBB,2025-02-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kanakadurga Finance Ltd.,CARE,Term loans,BBB,2025-02-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Esaf Small Finance Bank Ltd.,CARE,Debentures / Bonds / notes / bills,A-,2025-02-09,HIGH,BFSI,Active,Downgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
I D B I Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA,2025-02-09,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Aadhar Housing Finance Ltd.,IND-RA,Term loans,AA,2025-02-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Wonder Home Finance Ltd.,CARE,Term loans,A,2025-02-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Five-Star Business Finance Ltd.,ICRA,Term loans,AA-,2025-02-09,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Save Microfinance Pvt. Ltd.,CARE,Debentures / Bonds / notes / bills,PP-MLD BBB-,2025-02-07,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Kissandhan Agri Financial Services Pvt. Ltd.,CARE,Non-government debt,BBB/A3,2025-02-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
India Shelter Finance Corpn. Ltd.,CARE,Term loans,AA-,2025-02-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Infina Finance Pvt. Ltd.,ICRA,Non-government debt,AA+/A1+,2025-02-06,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Vanchinad Finance Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-02-05,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
LKP Finance Limited,Infomerics,Fund based - long term bank facilities - Cash Credit,IVR BB+ (Downgraded)(Withdrawn),2025-01-29,HIGH,BFSI,Active,Negative,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
A U Small Finance Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA,2025-01-12,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Tata Capital Housing Finance Ltd.,ICRA,Debentures / Bonds / notes / bills,AAA,2025-01-10,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Svatantra Micro Housing Finance Corpn. Ltd.,CARE,Term loans,AA-,2025-01-10,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Satya Micro Housing Finance Pvt. Ltd.,ICRA,Fund based financial facility/instrument,BBB-,2025-01-09,HIGH,BFSI,Active,Downgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Centrum Housing Finance Ltd.,CARE,Term loans,A-,2025-01-09,HIGH,BFSI,Active,Rating Watch,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Dayanidhi Solar Power Pvt. Ltd.,CRISIL,Term loans,A-,2025-01-09,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Anik Financial Services Pvt. Ltd.,ACUITE,Long term Loans,BB,2025-01-09,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Dhanlaxmi Bank Ltd.,CARE,Debentures / Bonds / notes / bills,BB+,2025-01-07,HIGH,BFSI,Active,Withdrawn,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
D C B Bank Ltd.,CARE,Debentures / Bonds / notes / bills,AA-,2025-01-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Godrej Housing Finance Ltd.,CARE,Non-government debt,AA+/A1+,2025-01-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
National Housing Bank,ACUITE,Debentures / Bonds / notes / bills,AAA,2025-01-07,HIGH,BFSI,Active,Initial Rating,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Altum Credo Home Finance Pvt. Ltd.,CARE,Fund based financial facility/instrument,BBB+,2025-01-07,HIGH,BFSI,Active,Reaffirmed,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Spandana Sphoorty Financial Ltd.,CRISIL,Term loans,BBB+,2025-01-07,HIGH,BFSI,Active,Downgraded,Rating overdue — annual review past due.,Your rating is overdue for renewal. ACER offers fast-track BFSI rating with regulatory expertise.,d365
Maanaveeya Development & Finance Private Limited,Infomerics,Long Term Bank Facilities - Term Loan,IVR A (Assigned),2024-12-24,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
IFL Housing Finance Limited,Infomerics,Long-Term Bank Facilities,IVR BB (INC) (Downgraded),2024-12-09,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Agriwise Finserv Limited (Erstwhile StarAgri Finance Limited),Infomerics,Long Term Bank Facilities,Withdrawn,2024-11-28,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
ACAIPL Investment and Financial Services Private Limited,Infomerics,Proposed Bank Facilities,IVR BBB (Assigned),2024-11-22,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Paisabuddy Finance Private Limited,Infomerics,Long Term Fund Based Facilities,IVR BBB- (Reaffirmed and withdrawn),2024-09-18,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Fintree Finance Private Limited,Infomerics,Long Term - Series A1 PTCs,Withdrawn,2024-05-22,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Save Housing Finance Limited (erstwhile New Habitat Housing Finance and Development Limited),Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed and Withdrawn),2024-03-26,HIGH,BFSI,Active,Stable,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
RBA Finance Private Limited,Infomerics,Proposed Long Term Fund Based Limit - Cash Credit,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,HIGH,BFSI,INC,Stable,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Platinum Finleasing & Infra Development Private Limited,Infomerics,Long Term Bank Facilities (LRD),Withdrawn,2023-11-07,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Nalin Lease Finance Limited (NLFL),Infomerics,Long term fund-based Bank facility - Proposed Dropline Overdraft,Withdrawn,2023-10-11,HIGH,BFSI,Active,Nil,Rating overdue — regulatory renewal window.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
