Company,Current_Rater,Instrument_Type,Rating,Date,Urgency,Sector,INC_Status,Status,Why_Target,ACER_Pitch,Source
Adhikar Microfinance Private Limited,Infomerics,Long Term Bank Facilities- Term Loan,IVR D (INC)(Reaffirmed),2025-04-01,HIGH,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
ICL Fincorp Limited,Infomerics,Non-Convertible Debentures,IVR BB (INC) (Reaffirmed),2025-03-21,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
IFL Housing Finance Limited,Infomerics,Long-Term Bank Facilities,IVR BB (INC) (Downgraded),2024-12-09,HIGH,BFSI,INC,Negative,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
RBA Finance Private Limited,Infomerics,Proposed Long Term Fund Based Limit - Cash Credit,"IVR BB+ (Upgraded, removed from INC category and simultaneously Withdrawn)",2024-03-07,HIGH,BFSI,INC,Stable,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Sai Point Finance Corporation Limited,Infomerics,Long Term Fund Based Limits - Cash Credit,IVR BB (INC)(Withdrawn),2021-11-25,HIGH,BFSI,INC,Nil,INC status at Infomerics — BFSI company needs new rating agency.,Infomerics-rated BFSI entity. ACER offers SEBI/RBI-recognized rating with faster delivery.,infomerics
Ashray Microfinance Ltd.,CRISIL,Long term Loans,B,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Aviom India Housing Finance Pvt. Ltd.,CRISIL,Long term Loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Essel Finance Business Loans Ltd.,ACUITE,Long term Loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Exclusive Leasing & Finance Pvt. Ltd.,CRISIL,Long term Loans,BBB-,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Gilada Finance & Invsts. Ltd.,ACUITE,Long term Loans,BB-,,UNKNOWN,BFSI,INC,Withdrawn,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Gokul Finance & Invst. Co. Pvt. Ltd.,ACUITE,Long term Loans,B-,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Growing Opportunity Finance (India) Pvt. Ltd.,CARE,Fund based financial facility/instrument,B,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Humana Financial Services Pvt. Ltd.,ACUITE,Long term Loans,BB+,,UNKNOWN,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
J M J Finance Ltd.,CRISIL,Long term Loans,B+,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Karvy Financial Services Ltd.,ICRA,Fund based financial facility/instrument,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Khush Housing Finance Pvt. Ltd.,ACUITE,Term loans,BB,,UNKNOWN,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
L R N Finance Ltd.,CRISIL,Long term Loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Margdarshak Financial Services Ltd.,BRICKWORK,Term loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Need Livelihood Microfinance Pvt. Ltd.,CARE,Term loans,B-,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
P N Y Sabha Finance Ltd.,BRICKWORK,Term loans,C,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Peerless General Finance & Invst. Co. Ltd.,CRISIL,Long term Loans,BBB+,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Rama Ferro Alloys & Finance Pvt. Ltd.,CRISIL,Letter Of credit,A 4,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Reliance Commercial Finance Ltd.,CARE,Debentures / Bonds / notes / bills,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Reliance Home Finance Ltd.,BRICKWORK,Debentures / Bonds / notes / bills,PP-MLD D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Reliance Home Finance Ltd.,CARE,Debentures / Bonds / notes / bills,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Riverbank Developers Pvt. Ltd.,CARE,Bank Guarantee,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Seajuli Developers & Finance Ltd.,CARE,Term loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shashank Nidhi Construction Pvt. Ltd.,IND-RA,Term loans,B-,,UNKNOWN,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shree Nidhi Secure Print Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shri Banke Bihari Polyfab Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Shri Banke Bihari Polyfab Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,B-,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Sree Sannidhi Foods Pvt. Ltd.,CARE,Term loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Sreenidhi Raja Packing Solutions Pvt. Ltd.,CRISIL,Long term Loans,B+,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Sreenidhi Raja Packing Solutions Pvt. Ltd.,IND-RA,Term loans,B-,,UNKNOWN,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Srinidhi Industries Ltd.,BRICKWORK,Bank Guarantee,A 4,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Swarna Pragati Housing Microfinance Pvt. Ltd.,CARE,Term loans,B,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
United Overseas Finance Ltd.,ACUITE,Long term Loans,B+,,UNKNOWN,BFSI,INC,Downgraded,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
A S A International India Microfinance Ltd.,ICRA,Term loans,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Action Financial Services (India) Ltd.,CRISIL,Bank Guarantee,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Andhra Pradesh Power Finance Corpn. Ltd.,CRISIL,Debentures / Bonds / notes / bills,D,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
Apna Sahakari Bank Ltd.,CRISIL,Bank Guarantee,A 4,,UNKNOWN,BFSI,INC,Reaffirmed,INC status — not cooperating with current rater. Needs new agency immediately.,INC at current agency — ACER provides clean slate for BFSI entities needing independent rating.,d365
