Company Name,Edu_Type,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_Education
Serum Institute Of India Pvt. Ltd.,General Education/Institute,CRISIL,Bank Guarantee,A 1+,2026-02-18,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Amity Global Education Organisation,General Education/Institute,CARE,Letter Of credit,A+(CE),2026-01-07,LOW,1,NO,CARE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Heart Care Institute & Research Centre (Indore) Pvt. Ltd.,General Education/Institute,CRISIL,Term loans,A,2026-02-13,LOW,1,NO,CRISIL,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Hygienic Research Institute Pvt. Ltd.,General Education/Institute,CRISIL,Fund based financial facility/instrument,A,2025-12-18,LOW,1,NO,CRISIL,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Indian Public School Pvt. Ltd.,School/Coaching,CARE,Term loans,D,2026-03-13,LOW,1,NO,CARE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Indiannica Learning Pvt. Ltd.,General Education/Institute,CARE,Non-government debt,AA(CE)/A1+(CE),2026-01-30,LOW,1,NO,CARE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
K I P S Learning Pvt. Ltd.,General Education/Institute,CARE,Term loans,BBB-,2026-01-12,LOW,1,NO,CARE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Niit Learning Systems Ltd.,General Education/Institute,IND-RA,Non-government debt,AA-/A1+,2026-01-02,LOW,1,NO,IND-RA,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
P N Memorial Neuro Centre & Research Institute Ltd.,General Education/Institute,ACUITE,Long term Loans,A,2025-12-24,LOW,1,NO,ACUITE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Scott-Edil Advance Research Laboratories & Education Ltd.,General Education/Institute,ACUITE,Long term Loans,A,2026-04-02,LOW,1,NO,ACUITE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Shija Hospitals & Research Institute Pvt. Ltd.,General Education/Institute,CRISIL,Long term Loans,BB,2026-02-13,LOW,1,NO,CRISIL,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Shri Balaji Institute Of Medical Science Pvt. Ltd.,Medical/Pharma College,CRISIL,Long term Loans,BBB+,2026-03-10,LOW,1,NO,CRISIL,1,Active rated company — relationship building,Healthcare education institutions increasingly need rated instruments for hospital expansion financing
Times Centre For Learning Ltd.,General Education/Institute,CARE,Non-government debt,AA/A1+,2026-04-29,LOW,1,NO,CARE,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Shree Chanakya Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB (Upgraded),2026-02-04,LOW,1,NO,Infomerics,1,Active rated company — relationship building,Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Arete Institute of Medical Sciences Private Limited,Medical/Pharma College,Infomerics,Long Term Bank Facilities,IVR B (INC)(Downgraded),2025-04-04,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[OVERDUE] [INC] Current rater unresponsive — Healthcare education institutions increasingly need rated instruments for hospital expansion financing. ACER offers named analyst contact
JMJ Charitable Education Society,General Education/Institute,Infomerics,Long Term Facility - Fund Based - Proposed Term Loan,IVR B+ (INC)(Downgraded),2025-02-24,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[OVERDUE] [INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Rajasthani Sammelan Education Trust,General Education/Institute,Infomerics,Long Term Fund Based Bank Facility - Term Loan,IVR B (INC)(Downgraded),2025-05-26,HIGH,5,YES,Infomerics,1,INC — issuer not cooperating with current rater | Rating overdue (>12 months),[OVERDUE] [INC] Current rater unresponsive — Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts. ACER offers named analyst contact
Eternal Heart Care Centre & Research Institute Pvt. Ltd.,General Education/Institute,IND-RA,Term loans,BBB+,2025-05-29,HIGH,3,NO,IND-RA,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Alpha Foundation for Education and Research,General Education/Institute,Infomerics,Long Term Bank Facility,IVR BBB+ (Reaffirmed),2025-04-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Ambience Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,Withdrawn,2024-10-30,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Ayushmati Education and Social Society,General Education/Institute,Infomerics,Long Term Bank Facility,IVR BBB (Assigned),2025-02-06,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Bolar Education Trust,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-04-24,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Bombay Education Trust,Management Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-05-19,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Master Nihal Singh Memorial Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR B (Reaffirmed),2025-03-21,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
National Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-04-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Ompee Education Trust,General Education/Institute,Infomerics,Long Term Bank Facilities,Withdrawn,2023-07-05,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Padmashri Institute of Medical Science & Research Centre Private Limited,Medical/Pharma College,Infomerics,Long Term Bank Facilities,IVR BB- (Assigned),2025-04-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Healthcare education institutions increasingly need rated instruments for hospital expansion financing
Rajalakshmi Education Trust,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-02-11,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Ramade Memorial Medicare and Research Institute Private Limited,General Education/Institute,Infomerics,Long Term Facilities,IVR BBB- (Reaffirmed),2025-06-13,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Resona Hospitals & Research Institute Limited,General Education/Institute,Infomerics,Long Term Facilities,Withdrawn,2025-05-16,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
SML Supervalue Education Private Limited,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-04-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Sanskriti Society for Education Research & Development,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB (Reaffirmed),2024-12-06,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Shreeji Education Trust,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-05-19,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Shri Gangajali Education Society,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-05-14,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Universal Education Foundation,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-04-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
Vidya Vikas Education Trust,General Education/Institute,Infomerics,Long Term Bank Facilities,IVR BBB+ (Reaffirmed),2025-04-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] Education sector institutions need rated bank facilities — ACER offers dedicated education sector analysts
