Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Keshav Holiday Resort Pvt. Ltd.,BRICKWORK | CRISIL | ICRA,3,CRISIL,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,B,Downgraded,2025-11-28,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Concord Hospitality Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,D,Reaffirmed,2025-08-21,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Withdrawn,2025-11-04,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Ezeego One Travel & Tours Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,D,Reaffirmed,2025-10-10,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Hotel Ganesh Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-07-29,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Hotel Swosti Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BB+,Reaffirmed,2025-07-15,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Lavasa Hotel Ltd.,CARE,1,CARE,Term loans,Term loans,D,Reaffirmed,2025-11-20,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Nand Hospitality Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-07-23,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Rewa Leisure Pvt. Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,D,Reaffirmed,2025-09-29,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Seven Seas Hospitality Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-09-12,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Skyhigh Hospitality Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-07-29,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Soham Leisure Ventures Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,A 4,Reaffirmed,2025-11-25,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Alcon Resort Holdings Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BBB+,Reaffirmed,2025-10-08,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Apeejay Surrendra Park Hotel Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Fund based financial facility/instrument,A+,Reaffirmed,2025-09-29,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Bamboo Hotel & Global Centre (Delhi) Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,A+(CE),Initial Rating,2025-09-30,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Brigade Hotel Ventures Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 1,Upgraded,2025-09-23,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Brilliant Hotel & Infrastructures Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BBB,Initial Rating,2025-11-13,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Dollars Hotel & Resorts Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,A+(CE),Initial Rating,2025-09-15,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Gilpin Tours & Travel Mgmt. (India) Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,BBB-,Reaffirmed,2025-10-14,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Golden Hospitality Services Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 2,Reaffirmed,2025-08-04,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Hotel Excelsior Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,A+,Reaffirmed,2025-07-04,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Hotel Polo Towers Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BBB+,Initial Rating,2025-07-02,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
I H H R Hospitality (Andhra) Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,BBB+,Reaffirmed,2025-09-30,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
I H H R Hospitality Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,A-,Upgraded,2025-09-30,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
International Travel House Ltd.,ICRA,1,ICRA,Non-government debt,Non-government debt,AA/A1+,Reaffirmed,2025-10-31,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
K H F M Hospitality & Facility Mgmt. Services Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,D,Withdrawn,2025-08-06,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Prestige Hospitality Ventures Ltd.,CARE,1,CARE,Term loans,Term loans,A+(CE),Initial Rating,2025-06-30,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
S O T C Travel Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 1+,Reaffirmed,2025-06-23,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Seven Leisure Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BBB-,Reaffirmed,2025-10-08,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
DYP Hospitality Private Ltd,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BBB- (Assigned),,2025-08-12,MEDIUM,2,NO,Hotels/Tourism,Infomerics,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Lalchnd Resort Private Limited,Infomerics,1,Infomerics,Long Term Bank Facility,Long Term Bank Facility,IVR BBB- (Assigned),,2025-07-28,MEDIUM,2,NO,Hotels/Tourism,Infomerics,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
VRV Hospitality Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BBB- (Reaffirmed),,2025-08-07,MEDIUM,2,NO,Hotels/Tourism,Infomerics,Approaching renewal (6-12 months),Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Sahara Hospitality Ltd.,ACUITE | CARE,2,CARE,Bank Guarantee | Fund based financial facility/instrument | Long term Loans | Non-fund-based financial facility/instrument | Term loans,Fund based financial facility/instrument,D,Reaffirmed,2026-02-06,LOW,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Universal Import Export & Hospitality Pvt. Ltd.,ACUITE | BRICKWORK,2,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,A 4,Reaffirmed,2026-01-09,LOW,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Adhik Resort India Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2026-04-20,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Arambhan Hospitality Services Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,D,Reaffirmed,2026-02-19,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Celebrity Corporate Club,CRISIL,1,CRISIL,Long term Loans,Long term Loans,D,Reaffirmed,2026-01-12,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Ebix Travel & Holidays Ltd. [Merged],CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2026-01-30,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Ecomotel Hotel Ltd.,CARE,1,CARE,Term loans,Term loans,D,Reaffirmed,2026-04-06,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Lords Travel Pvt. Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,B-,Downgraded,2026-05-04,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Madras Race Club,CRISIL,1,CRISIL,Long term Loans,Long term Loans,B,Downgraded,2026-04-09,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Nishi Forex & Leisure Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument,D,Reaffirmed,2026-02-16,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Proodle Hospitality Services Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Bank Guarantee,A 4,Withdrawn,2026-02-19,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Sanya Hospitality Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,D,Reaffirmed,2026-03-11,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Travel Tours Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2026-03-30,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Zenith Leisure Holidays Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Term loans,Bank Guarantee,A 4,Withdrawn,2026-04-17,LOW,3,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
KHFM Hospitality & Facility Management Services Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),,2026-01-13,LOW,3,YES,Hotels/Tourism,Infomerics,INC — issuer not cooperating with current rater,"INC company — pitch ACER as cooperative alternative; Infomerics/Brickwork gave up, we engage"
Ihhr Hospitality(Gujarat) Pvt. Ltd.,CARE | ICRA,2,CARE,Term loans,Term loans,BB+,Withdrawn,2026-01-08,LOW,2,NO,Hotels/Tourism,D365,Multi-agency (2 raters) — open to new entrant,Multi-agency — pitch ACER as parallel or replacement rater; already open to options
Impresario Entertainment & Hospitality Pvt. Ltd.,ICRA | IND-RA,2,ICRA,Non-government debt | Term loans,Non-government debt,BBB/A3+,Withdrawn,2026-01-28,LOW,2,NO,Hotels/Tourism,D365,Multi-agency (2 raters) — open to new entrant,Multi-agency — pitch ACER as parallel or replacement rater; already open to options
Woodland (Aero Club) Pvt. Ltd.,CARE | ICRA,2,ICRA,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Bank Guarantee,A 3,Initial Rating,2026-03-25,LOW,2,NO,Hotels/Tourism,D365,Multi-agency (2 raters) — open to new entrant,Multi-agency — pitch ACER as parallel or replacement rater; already open to options
Ambuja Neotia Hotel Ventures Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Bank Guarantee,BBB-,Reaffirmed,2026-04-08,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
B A H D L Hospitality Ltd.,CARE,1,CARE,Term loans,Term loans,BBB-,Reaffirmed,2026-02-23,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Burman Hospitality Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BBB+,Upgraded,2026-02-27,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Haveli Restaurant & Resorts Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,BBB,Reaffirmed,2026-01-22,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Hotel Harimangala Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,D,Withdrawn,2026-02-26,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Icon Hospitality Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,BBB-,Reaffirmed,2026-03-10,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
India Tourism Devp. Corpn. Ltd.,CARE,1,CARE,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument,A 1+,Reaffirmed,2025-12-18,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
K A Hospitality Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,A-,Initial Rating,2026-01-28,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Khanna Hotel Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,BBB+,Reaffirmed,2026-03-10,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Lalit Great Eastern Kolkata Hotel Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Term loans,A,Upgraded,2026-03-16,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Mumbai Travel Retail Ltd.,IND-RA,1,IND-RA,Letter Of credit | Non-government debt | Term loans,Non-government debt,A+/A1+,Initial Rating,2026-03-11,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Nrv Hospitality Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BB+,Initial Rating,2026-03-10,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Pallazzio Hotels & Leisure Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,AA-,Upgraded,2026-02-18,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Restaurant Brands Asia Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Fund based financial facility/instrument,A-,Reaffirmed,2026-03-31,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Riya Travel & Tours (India) Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 3+,Downgraded,2026-04-21,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Sarga Hotel Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans | Term loans,Long term Loans,A-,Initial Rating,2026-04-24,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Tulsi Palace Resort Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,AA,Initial Rating,2026-04-08,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Varun Hospitality Pvt. Ltd.,ICRA,1,ICRA,Non-government debt | Term loans,Non-government debt,BBB/A3+,Reaffirmed,2026-04-10,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Waterways Leisure Tourism Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Long term Loans,Long term Loans,BBB+,Reaffirmed,2026-03-09,LOW,1,NO,Hotels/Tourism,D365,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Andhra Pradesh Tourism Development Corporation Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BBB- (Downgraded),,2025-12-16,LOW,1,NO,Hotels/Tourism,Infomerics,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Corporate Leisure & Property Developments Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities â€“ Lease Rental Discounting | Long Term Bank Facilities â€“ Proposed Term Loan | Long Term Bank Facilities â€“ Term Loan,Long Term Bank Facilities â€“ Proposed Term Loan,IVR BB+ (Upgraded),,2025-12-16,LOW,1,NO,Hotels/Tourism,Infomerics,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
Ishika Resorts & Hospitality LLP,Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,IVR BB+ (Assigned),,2026-02-10,LOW,1,NO,Hotels/Tourism,Infomerics,Active rated company — relationship building,Tourism sector — pitch ACER hospitality expertise and SME-friendly pricing
