Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Nandhana Hotels Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,IVR BB+ (Reaffirmed and withdrawn),,2020-12-08,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
RMS Hotels and Resorts India Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities - Term Loan | Short Term Bank Facilities - Dropline Overdraft,Long Term Bank Facilities - Term Loan,IVR BB (Assigned),,2024-12-16,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Santladevi Resorts,Infomerics,1,Infomerics,Long Term Bank Facilities | Long Term/Short Term Bank Facilities,Long Term Bank Facilities,Withdrawn,,2025-05-08,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Siddharta Resorts & Foods Private Limited,Infomerics,1,Infomerics,Long Term Facilities | Short Term Facilities,Long Term Facilities,Withdrawn,,2024-12-20,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Siddharta Resorts and Foods Inc,Infomerics,1,Infomerics,Long Term Facilities,Long Term Facilities,Withdrawn,,2024-12-20,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Waves Hotels and Estates Private Limited,Infomerics,1,Infomerics,Long Term Bank Facilities,Long Term Bank Facilities,IVR BBB (Assigned),,2025-05-12,HIGH,3,NO,Hotels/Tourism,Infomerics,Rating overdue (>12 months),Overdue rating — pitch quick turnaround and competitive pricing vs. Infomerics
Chandrakala Resort Hotels Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Term loans,Term loans,B-,Withdrawn,2025-08-20,MEDIUM,5,YES,Hotels/Tourism,Both,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Kafila Hospitality & Travels Pvt. Ltd.,CRISIL | IND-RA,2,IND-RA,Fund based financial facility/instrument | Term loans,Term loans,B-,Reaffirmed,2025-11-24,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Keshav Holiday Resort Pvt. Ltd.,BRICKWORK | CRISIL | ICRA,3,CRISIL,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,B,Downgraded,2025-11-28,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Concord Hospitality Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,D,Reaffirmed,2025-08-21,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Corporate Leisure & Property Devp. Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Withdrawn,2025-11-04,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Ezeego One Travel & Tours Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,D,Reaffirmed,2025-10-10,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Hotel Ganesh Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-07-29,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Hotel Swosti Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BB+,Reaffirmed,2025-07-15,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Lavasa Hotel Ltd.,CARE,1,CARE,Term loans,Term loans,D,Reaffirmed,2025-11-20,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Nand Hospitality Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-07-23,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Rewa Leisure Pvt. Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,D,Reaffirmed,2025-09-29,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Seven Seas Hospitality Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-09-12,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Skyhigh Hospitality Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-07-29,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Soham Leisure Ventures Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,A 4,Reaffirmed,2025-11-25,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Asian Hotels (North) Ltd.,BRICKWORK | CRISIL | Infomerics,3,BRICKWORK,Fund based financial facility/instrument | Long term Loans | Term loans,Term loans,D,Withdrawn,2025-09-03,MEDIUM,5,YES,Hotels/Tourism,Both,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Athitheya Kshema Hotels Pvt. Ltd.,BRICKWORK | IND-RA,2,IND-RA,Bank Guarantee | Non-government debt | Term loans,Non-government debt,D,Reaffirmed,2025-11-24,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
D H S Hotels Pvt. Ltd.,CRISIL | ICRA,2,ICRA,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,B+,Reaffirmed,2025-10-28,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Elixir Enterprises & Hotels Pvt. Ltd.,BRICKWORK | ICRA,2,ICRA,Fund based financial facility/instrument | Term loans,Term loans,BB,Upgraded,2025-11-21,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Mayfair Hotels & Resorts Ltd.,CRISIL | ICRA,2,ICRA,Bank Guarantee | Fund based financial facility/instrument | Term loans,Bank Guarantee,A 3+,Withdrawn,2025-10-16,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Naveen Hotels Pvt. Ltd.,ACUITE | CRISIL,2,CRISIL,Fund based financial facility/instrument | Long term Loans | Term loans,Fund based financial facility/instrument,B+,Reaffirmed,2025-08-28,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Orbit Resorts Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,B,Reaffirmed,2025-11-21,MEDIUM,5,YES,Hotels/Tourism,Both,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ramee Hotels Pvt. Ltd.,ICRA | IND-RA,2,ICRA,Non-fund based working capital limit | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument,D,Withdrawn,2025-11-07,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Sunny Star Hotels Pvt. Ltd.,CRISIL | IND-RA,2,CRISIL,Term loans,Term loans,B+,Reaffirmed,2025-08-21,MEDIUM,5,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Aashraya Hotels & Estates Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Term loans,Bank Guarantee,A 4,Reaffirmed,2025-10-31,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Adyar Gate Hotels Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 4+,Upgraded,2025-08-22,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Daaj Hotels & Resorts Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,D,Reaffirmed,2025-07-18,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
G R T Hotels & Resorts Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,B+,Withdrawn,2025-11-11,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ideal Hotels & Inds. Ltd.,IND-RA,1,IND-RA,Non-government debt,Non-government debt,B-/A4,Reaffirmed,2025-08-21,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Jewel Classic Hotels Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,BB+,Withdrawn,2025-08-07,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Kanakia Hotels & Resorts Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,BBB,Initial Rating,2025-11-03,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Lily Hotels Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,D,Reaffirmed,2025-08-21,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Malabar Hotels Pvt. Ltd.,IND-RA,1,IND-RA,Non-government debt,Non-government debt,D,Reaffirmed,2025-08-21,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Narayani Hotels & Resorts Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Term loans,Bank Guarantee,D,Reaffirmed,2025-08-25,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Naroli Resorts Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,B-,Downgraded,2025-06-25,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Niki Resorts Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit | Term loans,Non-fund based working capital limit,A 4+,Downgraded,2025-10-17,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ocean Pearl Hotels Pvt. Ltd.,ICRA,1,ICRA,Non-government debt,Non-government debt,C+/A4,Withdrawn,2025-07-18,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Polo Hotels Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-11-21,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ratnaa Shree Anandhaas Hotels Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B,Downgraded,2025-06-30,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Redco Hotels Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-10-20,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ria Hotels Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,B-,Downgraded,2025-07-18,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Rising Hotels Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,B,Downgraded,2025-07-18,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Royale Manor Hotels & Inds. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,B-,Reaffirmed,2025-07-02,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Saifco Hillcrest Hotels Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans | Term loans,Long term Loans,BB+,Downgraded,2025-12-09,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Sameera Hotels (Chennai) Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,B-,Reaffirmed,2025-10-23,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Sea Lagoon Hotels Pvt. Ltd.,IND-RA,1,IND-RA,Non-government debt,Non-government debt,B-/A4,Reaffirmed,2025-09-11,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Secunderabad Hotels Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans,Bank Guarantee,A 4,Reaffirmed,2025-11-12,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Viceroy Bangalore Hotels Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,D,Reaffirmed,2025-09-25,MEDIUM,4,YES,Hotels/Tourism,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Alcon Resort Holdings Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BBB+,Reaffirmed,2025-10-08,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Apeejay Surrendra Park Hotel Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Fund based financial facility/instrument,A+,Reaffirmed,2025-09-29,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Bamboo Hotel & Global Centre (Delhi) Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,A+(CE),Initial Rating,2025-09-30,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Brigade Hotel Ventures Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 1,Upgraded,2025-09-23,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Brilliant Hotel & Infrastructures Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,BBB,Initial Rating,2025-11-13,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Dollars Hotel & Resorts Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,A+(CE),Initial Rating,2025-09-15,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Gilpin Tours & Travel Mgmt. (India) Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,BBB-,Reaffirmed,2025-10-14,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Golden Hospitality Services Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 2,Reaffirmed,2025-08-04,MEDIUM,2,NO,Hotels/Tourism,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
