Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle
Sezon Papers Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2025-07-31,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shree Papers Ltd. [Merged],BRICKWORK,1,BRICKWORK,Term loans,Term loans,D,Reaffirmed,2025-09-15,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shri Pariyur Amman Kraft Papers Pvt. Ltd.,ACUITE,1,ACUITE,Term loans,Term loans,B,Downgraded,2025-07-14,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Star Kraft Papers Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-07-21,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Twinkle Papers Ltd.,CARE,1,CARE,Letter Of credit | Term loans,Letter Of credit,A 4,Reaffirmed,2025-06-25,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Uniglobal Papers Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,D,Downgraded,2025-11-04,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Vrinda Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-08-07,MEDIUM,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Kuantum Papers Ltd.,CARE | IND-RA,2,CARE,Bank Guarantee | Non-fund based working capital limit | Non-fund-based financial facility/instrument | Term loans,Term loans,A,Withdrawn,2025-11-04,MEDIUM,3,NO,Paper/Packaging,D365,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),Multi-agency — benchmark pitch: ACER offers analyst access + speed advantage
Sardhana Papers Pvt. Ltd.,CRISIL | Infomerics,2,CRISIL,Term loans,Term loans,BB+,Reaffirmed,2025-10-10,MEDIUM,3,NO,Paper/Packaging,Both,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),Multi-agency — benchmark pitch: ACER offers analyst access + speed advantage
Amrit Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 3,Initial Rating,2025-09-22,MEDIUM,2,NO,Paper/Packaging,D365,Approaching renewal (6-12 months),Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
K R Pulp & Papers Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Letter Of credit | Term loans,Fund based financial facility/instrument,A,Reaffirmed,2025-08-11,MEDIUM,2,NO,Paper/Packaging,D365,Approaching renewal (6-12 months),Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Sahota Papers Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,A 1,Reaffirmed,2025-10-07,MEDIUM,2,NO,Paper/Packaging,D365,Approaching renewal (6-12 months),Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Security Printing & Minting Corpn. Of India Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 1+,Reaffirmed,2025-08-20,MEDIUM,2,NO,Paper/Packaging,D365,Approaching renewal (6-12 months),Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Unisource Papers Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Bank Guarantee,A 4+,Reaffirmed,2025-11-05,MEDIUM,2,NO,Paper/Packaging,D365,Approaching renewal (6-12 months),Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Camerich Papers Pvt. Ltd.,CARE | CRISIL | IND-RA,3,IND-RA,Bank Guarantee | Letter Of credit | Non-government debt | Short-term loan | Term loans,Non-government debt,D,Reaffirmed,2026-01-16,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Charming Printing & Grphics Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2026-02-09,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
D S G Papers Pvt. Ltd.,BRICKWORK | CARE,2,BRICKWORK,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 3+,Initial Rating,2026-01-13,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Jodhani Papers Pvt. Ltd.,CRISIL | IND-RA,2,IND-RA,Bank Guarantee | Term loans,Term loans,BBB,Withdrawn,2026-03-11,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Nachiketa Papers Ltd.,BRICKWORK | CRISIL,2,CRISIL,Bank Guarantee | Term loans,Term loans,B,Withdrawn,2026-04-28,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Paswara Papers Ltd.,BRICKWORK | CRISIL | Infomerics,3,CRISIL,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 3+,Initial Rating,2026-03-27,LOW,4,YES,Paper/Packaging,Both,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Prolific Papers Pvt. Ltd.,BRICKWORK | Infomerics,2,BRICKWORK,Fund based financial facility/instrument | Letter Of credit | Term loans,Letter Of credit,A 4,Initial Rating,2026-03-31,LOW,4,YES,Paper/Packaging,Both,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
R A C Papers Ltd.,BRICKWORK | CARE | CRISIL,3,CARE,Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 4,Reaffirmed,2026-04-22,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Ramaa Shyama Papers Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,BRICKWORK,Bank Guarantee | Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Bank Guarantee,A 4,Reaffirmed,2026-01-21,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Sabarmati Papers Pvt. Ltd.,ACUITE | CRISIL,2,CRISIL,Bank Guarantee | Long term Loans | Term loans,Long term Loans,B,Downgraded,2026-02-26,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shailja Papers Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2026-03-10,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shree Badri Kedar Papers Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,D,Reaffirmed,2026-03-02,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shree Bhageshwari Papers Pvt. Ltd.,BRICKWORK | CARE,2,CARE,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Non-government debt | Term loans,Bank Guarantee,A 3,Reaffirmed,2026-03-24,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Sidharth Papers Pvt. Ltd.,BRICKWORK | CRISIL,2,BRICKWORK,Bank Guarantee | Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 2,Upgraded,2026-02-11,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Swapna Printing Works Pvt. Ltd.,CRISIL | IND-RA,2,IND-RA,Bank Guarantee | Non-government debt | Term loans,Non-government debt,B-/A4,Downgraded,2026-04-02,LOW,4,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
J B Daruka Papers Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,B,Reaffirmed,2026-04-16,LOW,3,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Octopus Papers Ltd.,CARE,1,CARE,Term loans,Term loans,D,Reaffirmed,2026-01-06,LOW,3,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Panama Papers Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans | Term loans,Long term Loans,B,Reaffirmed,2026-03-25,LOW,3,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Shitla Papers Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Term loans,Term loans,C,Reaffirmed,2026-03-27,LOW,3,YES,Paper/Packaging,D365,INC — issuer not cooperating with current rater,INC company — ACER as cooperative alternative; pitch cooperative engagement vs. passive rater
Mathrubhumi Printing & Publishing Co. Ltd.,CRISIL | ICRA,2,CRISIL,Fund based financial facility/instrument | Long term Loans | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument,A 2,Reaffirmed,2026-01-12,LOW,2,NO,Paper/Packaging,D365,Multi-agency (2 raters) — open to new entrant,Multi-agency — benchmark pitch: ACER offers analyst access + speed advantage
Tamil Nadu Newsprint & Papers Ltd.,CARE | ICRA,2,ICRA,Bank Guarantee | Non-government debt | Term loans,Non-government debt,A+/A1,Reaffirmed,2026-02-16,LOW,2,NO,Paper/Packaging,D365,Multi-agency (2 raters) — open to new entrant,Multi-agency — benchmark pitch: ACER offers analyst access + speed advantage
Dev Priya Papers Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,BBB+,Downgraded,2026-04-21,LOW,1,NO,Paper/Packaging,D365,Active rated company — relationship building,Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Mehali Papers Pvt. Ltd.,CARE,1,CARE,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-fund-based financial facility/instrument,A 2,Reaffirmed,2025-12-16,LOW,1,NO,Paper/Packaging,D365,Active rated company — relationship building,Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Millenium Papers Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Letter Of credit | Non-government debt | Term loans,Bank Guarantee,A 4,Reaffirmed,2026-04-02,LOW,1,NO,Paper/Packaging,D365,Active rated company — relationship building,Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
Vijay Printing Press Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BBB+,Reaffirmed,2025-12-22,LOW,1,NO,Paper/Packaging,D365,Active rated company — relationship building,Paper/Packaging — BG ratings for procurement and bank credit lines — ACER SME-friendly pricing and faster turnaround
