Company Name,BFSI_Sub,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_NBFC
AMU Leasing Private Limited,NBFC,Infomerics,Long Term Fund Based Bank Facilities - Proposed,IVR BBB- (Assigned),2025-06-04,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Agriwise Finserv Limited (Erstwhile StarAgri Finance Limited),NBFC,Infomerics,Long Term Bank Facilities,IVR BBB- (Upgraded and Withdrawn),2024-11-28,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Altico Capital India Limited,NBFC,Infomerics,Non-Convertible Debentures (Proposed),IVR D  (Withdrawn),2020-10-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aris Capital Private Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR BB+ (Reaffirmed),2025-01-23,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Best Capital Services Limited,NBFC,Infomerics,Long Term Fund Based Bank Facilities - Term Loan,IVR BBB (Reaffirmed),2025-05-13,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Bhanix Finance and Investment Limited,NBFC,Infomerics,Non Convertible Debentures (NCDs) (INE08X507053),Withdrawn,2023-07-19,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Easy Home Finance Limited (EHFL),HFC,Infomerics,Proposed Bank Facilities,IVR BBB- (Withdrawn),2020-08-07,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Enn Enn Capital Private Limited (Erstwhile Enn Enn Fincap India Private Limited),NBFC,Infomerics,Proposed Bank  Facilities -Term Loan,Withdrawn,2021-07-31,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Fintree Finance Private Limited,NBFC,Infomerics,Long Term - Series A1 PTCs,Withdrawn,2024-05-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Habitat Micro Build India Housing Finance Company Private Limited,HFC,Infomerics,Proposed Long Term Fund Based Bank Facility - Term Loan,IVR BB+ (Reaffirmed & Withdrawn),2022-09-01,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
ICICI Prudential Office Yield Optimizer Fund (IPOYOF),NBFC,Infomerics,ICICI Prudential Office Yield Optimizer Fund,IVR AA+ (AIF) (Revised & Withdrawn),2020-06-05,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Indiabulls Rural Finance Private Limited,NBFC,Infomerics,Non - Convertible Debentures (NCDs) (INE06DK07016),Withdrawn,2023-07-19,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Indian School Finance Company Private Limited,NBFC,Infomerics,Proposed Non Convertible Debentures,Withdrawn,2023-01-23,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Jaypee Capital Services Limited,NBFC,Infomerics,Long Term Fund Based Bank Facilities - Overdraft,IVR BBB+ (Reaffirmed),2024-12-11,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kalanjiam Development Financial Services,NBFC,Infomerics,Long Term Bank Facilities - Term Loans,IVR BB- (Assigned),2025-02-25,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kotak Mahindra Mutual Fund,NBFC,Infomerics,Kotak FMP Series 236 (Mutual Fund),IVR A1+mfs (Withdrawn,2018-08-06,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
LKP Finance Limited,NBFC,Infomerics,Fund based - long term bank facilities - Cash Credit,IVR BB+ (Downgraded)(Withdrawn),2025-01-29,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Mangal Credit & Fincorp Limited (MCFL),NBFC,Infomerics,Proposed Long term fund based bank facilities,Withdrawn,2023-07-14,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Nalin Lease Finance Limited (NLFL),NBFC,Infomerics,Long term fund-based Bank facility - Cash Credit,Withdrawn,2023-10-11,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
"Radiant Life Care Private Limited (formerly, Halcyon Finance & Capital Advisors Pvt. Ltd.)",NBFC,Infomerics,Long Term Loans,IVR A- (Withdrawn),2020-05-12,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Red Fort Capital Finance Company Private Limited,NBFC,Infomerics,Proposed Non-Convertible Debentures,Withdrawn,2025-04-28,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Rikalp Capital Private Limited,NBFC,Infomerics,Long Term Facilities- Term Loans,IVR BB+ (Upgraded),2025-03-21,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Samunnati Financial Intermediation & Services Private Limited,NBFC,Infomerics,Long Term Bank Facilities - Term Loan (Proposed),Withdrawn,2022-09-19,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Save Housing Finance Limited (erstwhile New Habitat Housing Finance and Development Limited),HFC,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed and Withdrawn),2024-03-26,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Stree Nidhi Credit Co-Operative Federation Limited (Andhra Pradesh),NBFC,Infomerics,Fund Based - Long Term facilities - Working Capital Facilities,IVR A (Reaffirmed),2025-03-26,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Stree Nidhi Credit Co-operative Federation Limited (Telangana),NBFC,Infomerics,Long Term Fund Based Facility - Term Loans,IVR A (Reaffirmed),2025-02-12,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Supra Pacific Financial Services Limited (SPFSL,NBFC,Infomerics,Long Term Fund Based Facility - Term Loans,IVR BBB- (Assigned),2025-03-07,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Tourism Finance Corporation of India Limited,NBFC,Infomerics,Fund Based Long Term Bank Facility - Term Loan,IVR A+ (Assigned),2025-03-25,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Trust Capital Services India Private Limited (TCSPL),NBFC,Infomerics,Long Term Fund based facilities Proposed Non-Convertible Debentures,Withdrawn,2021-09-22,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Vanchinad Finance Private Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-02-05,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Vector Finance Private Limited,NBFC,Infomerics,Long Term Bank Facilities,Withdrawn,2023-01-25,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Velicham Finance Private Limited,NBFC,Infomerics,Long Term Fund Based Facilities,IVR BB+ (Upgraded and Withdrawn),2025-04-23,HIGH,3,NO,Infomerics,1,Rating overdue (>12 months),[OVERDUE] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
