Blitz Rank,Company Name,Sector,Instrument,Current Rater,Rating,Rating Date,Urgency,INC Flag,Priority Score,Why Target,ACER Pitch Angle,Tier
11,Supreet Chemicals Private Limited,ChemicalsPharma,Long Term Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-03-17,HIGH,YES,6,INC — issuer not cooperating with Infomerics,INC at Infomerics — ACER provides fresh start with faster turnaround,ULTRA HOT
12,Shubham Cotton Mills Pvt. Ltd.,Textiles,Term loans,BRICKWORK,C,2025-06-11,HIGH,YES,6,"INC — rater relationship broken | Rating overdue (>12 months) | Multi-agency | Textiles sector — 63.7% INC rate, highest of all sectors","INC — current rater relationship failed, prime switching candidate | Rating overdue — renewal urgency NOW | Multi-agency — already comfortable with multiple raters | Textiles sector: ACER focuses on Tier-2 textile hubs (Surat, Tirupur, Hooghly)",ULTRA HOT
13,Divine Motors Pvt. Ltd.,Automobiles/Auto,Term loans,BRICKWORK,B+,2025-06-09,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
14,Pandit Automobiles Pvt. Ltd.,Automobiles/Auto,Bank Guarantee,BRICKWORK,A 4,2025-06-02,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
15,Amrit Exports Pvt. Ltd.,Trading/Exports,Bank Guarantee,BRICKWORK,A 4,2025-05-28,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
16,Chrysalis Trading Pvt. Ltd.,Trading/Exports,Non-government debt,BRICKWORK,D,2025-05-27,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
17,Shree Shankar Vijay Timber Exports Pvt. Ltd.,Trading/Exports,Bank Guarantee,CARE,D,2025-05-14,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
18,Celebi Delhi Cargo Terminal Mgmt. India Pvt. Ltd.,Logistics,Term loans,CARE,A,2025-05-22,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
19,Capital Power Systems Ltd.,BFSI-NBFC,Bank Guarantee,ACUITE,A 2,2025-05-06,HIGH,YES,6,INC — issuer not cooperating with current rater | Rating overdue (>12 months) | Multi-agency (2 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround",ULTRA HOT
20,A.V. Agro Foods,AgroFood,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Reaffirmed and withdrawn),2023-12-27,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
21,Abraq Agro Fresh LLP,AgroFood,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),2025-02-19,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
22,Agri Process Innovations & Technologies LLP,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-04-23,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
23,Avyukta Agro Impex Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),2025-05-29,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
24,Baba Kailashpati Agro Processing Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-05-08,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
25,Baba Naga Agro Pvt. Ltd.,AgroFood,Letter Of credit,BRICKWORK,A 4,2025-05-16,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
26,Camson Agri-Ventures Pvt. Ltd.,AgroFood,Bank Guarantee,CARE,D,2025-05-26,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
27,Chennai Rice Inds. India Pvt. Ltd.,AgroFood,Bank Guarantee,BRICKWORK,A 4,2025-05-27,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
28,Dhanashree Agro Products Pvt. Ltd.,AgroFood,Bank Guarantee,CRISIL,D,2025-05-19,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
29,Divya Agro Roller Flour Mills Pvt. Ltd.,AgroFood,Term loans,CARE,D,2025-06-09,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
30,Farm Fresh Kashmir,AgroFood,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2025-03-06,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
31,G H O Agro Pvt. Ltd.,AgroFood,Bank Guarantee,BRICKWORK,D,2025-05-13,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
32,G M Sugar & Energy Ltd.,AgroFood,Non-government debt,ICRA,B+/A4,2025-05-28,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
33,G M Sugar and Energy Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-02-14,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
34,Genuine Agro Spices (Partnership),AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-27,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
35,Genuine Agro Spices (Proprietorship),AgroFood,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Downgraded),2025-05-27,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
36,Gonglu Agro Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,ICRA,D,2025-05-14,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
37,Green Agro Pack Pvt. Ltd.,AgroFood,Letter Of credit,CRISIL,D,2025-05-14,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
38,H R Rice Mills Pvt. Ltd.,AgroFood,Bank Guarantee,CRISIL,A 4,2025-05-21,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
39,HMA Agro Industries Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),2023-06-19,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
40,Hardayal Milk Products Pvt. Ltd.,AgroFood,Term loans,CARE,D,2025-05-12,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
41,Immaculate Agro Spices Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC)(Downgraded),2025-05-27,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
42,Kamco Chew Food Private Limited (KCFPL),AgroFood,Long Term Bank Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-04-21,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
43,Karnal Food Pack Cluster Limited,AgroFood,Long Term Bank Facility,Infomerics,IVR B (INC)(Downgraded),2024-12-20,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
44,Kartick Chandra Agro Products Private Limited,AgroFood,Long Term Bank Facility,Infomerics,IVR C (INC)(Reaffirmed),2025-01-24,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
45,Lakshya Food (India) Ltd.,AgroFood,Term loans,CARE,B-,2025-06-04,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
46,Limtex Agri Udyog Ltd.,AgroFood,Long term Loans,ICRA,D,2025-06-13,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
47,Madhucon Sugar & Power Inds. Ltd.,AgroFood,Term loans,ICRA,D,2025-05-23,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
48,Maharaja Roller Flour Mills Jalna Pvt. Ltd.,AgroFood,Term loans,BRICKWORK,D,2025-05-23,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
49,Majumder Agro Inds. Pvt. Ltd.,AgroFood,Term loans,CRISIL,BB,2025-05-30,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
50,Mauli Fresh Agro Inds. Pvt. Ltd.,AgroFood,Term loans,ICRA,B+,2025-05-23,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
51,Mundra Agro Pvt. Ltd.,AgroFood,Fund based financial facility/instrument,CRISIL,B+,2025-06-12,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
52,N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),AgroFood,Long Term Bank Facilities,Infomerics,IVR D (INC)(Reaffirmed and Withdrawn),2023-11-07,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
53,Nandi Grain Derivatives Pvt. Ltd.,AgroFood,Bank Guarantee,CARE,D,2025-05-28,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
54,Naturo Food & Fruit Products Pvt. Ltd.,AgroFood,Long term Loans,CRISIL,B,2025-05-30,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
55,New Leaf Tea Plantation Private Limited,AgroFood,Long Term Facilities,Infomerics,IVR B- (INC)(Reaffirmed),2025-06-02,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
56,Panchal Agro Fresh,AgroFood,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2024-11-27,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
57,Pandhari Milk Pvt. Ltd.,AgroFood,Term loans,BRICKWORK,D,2025-06-05,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
58,Purandar Milk & Agro Products Ltd.,AgroFood,Term loans,ICRA,D,2025-05-09,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
59,R N K Agro & Chemicals Pvt. Ltd.,AgroFood,Term loans,CRISIL,B+,2025-05-30,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
60,Santhagarik Agro Private Limited,AgroFood,Long Term Facilities,Infomerics,IVR C+ (INC) (Downgraded),2025-05-08,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
61,Satchidananda Agro Tech Pvt. Ltd.,AgroFood,Bank Guarantee,CRISIL,A 4,2025-06-13,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
62,Sathyam Roller Flour Mills Pvt. Ltd.,AgroFood,Bank Guarantee,BRICKWORK,A 4,2025-06-11,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
63,Shree Durga Khandsari (Sugar) Mills,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB (INC) (Downgraded),2025-01-23,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
64,Shrinathji Agro Food Inds. Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,CRISIL,A 4,2025-06-13,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
65,Siddhashram Rice Mills Cluster Pvt. Ltd.,AgroFood,Term loans,ACUITE,D,2025-05-23,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
66,Siddhi Vinayak Roller Flour Mills Pvt. Ltd.,AgroFood,Long term Loans,CRISIL,B,2025-05-26,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
67,Supreme Nutri Grain Pvt. Ltd.,AgroFood,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-21,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
68,Thakur Agro Products,AgroFood,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-04-01,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
69,Varun Agro Processing Foods Private Limited,AgroFood,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-02-28,HIGH,YES,5,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating",ULTRA HOT
70,A G Conveying Systems Pvt. Ltd.,IT/Software,Bank Guarantee,CRISIL,D,2025-05-21,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),"ULTRA HOT — INC + overdue: current rater abandoned, ACER rescues in 15 days",ULTRA HOT
71,Advance Metering Technology Ltd.,IT/Software,Non-government debt,CARE,C/A4,2025-06-03,HIGH,YES,5,INC — issuer not cooperating with current rater | Rating overdue (>12 months),Overdue INC — offer ACER fast-track rating with guaranteed responsiveness,ULTRA HOT
