Company Name,Latest Instrument,Latest Rater,Latest Rating,Rating Date,Urgency,Sector,INC Flag,All Raters,Rater Count,All Instruments,Latest Status,Data Source,Priority Score,Why Target,ACER Pitch Angle
Golkunda Diamonds & Jewellery Ltd.,Non-fund-based financial facility/instrument,BRICKWORK,A 4,2025-10-29,MEDIUM,Jewellery/Gems,YES,BRICKWORK | IND-RA,2,Non-fund based working capital limit | Non-fund-based financial facility/instrument,Reaffirmed,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Kavitha Gold & Diamonds Pvt. Ltd.,Term loans,IND-RA,BBB-,2025-07-04,MEDIUM,Jewellery/Gems,YES,CARE | IND-RA,2,Letter Of credit | Non-government debt | Term loans,Withdrawn,D365,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Mohit Diamonds Pvt. Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 4+,2025-10-29,MEDIUM,Jewellery/Gems,YES,CRISIL | Infomerics,2,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Withdrawn,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Ranka Jewellers Pvt. Ltd.,Long term Loans,CRISIL,BBB-,2025-12-02,MEDIUM,Jewellery/Gems,YES,CRISIL | Infomerics,2,Long term Loans,Initial Rating,Both,5,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Cluster Jewellery Ltd.,Long term Loans,CRISIL,B,2025-11-14,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Firestar Diamond Intl. Pvt. Ltd.,Term loans,IND-RA,D,2025-08-11,MEDIUM,Jewellery/Gems,YES,IND-RA,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Global Jewellery Pvt. Ltd.,Bank Guarantee,CARE,A 4,2025-12-02,MEDIUM,Jewellery/Gems,YES,CARE,1,Bank Guarantee,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
J K R Sona Mandi Jewellers Pvt. Ltd.,Long term Loans,CRISIL,B,2025-08-22,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Jorss Bullion Pvt. Ltd.,Bank Guarantee,BRICKWORK,D,2025-12-08,MEDIUM,Jewellery/Gems,YES,BRICKWORK,1,Bank Guarantee | Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
London Star Diamond Co. (India) Pvt. Ltd.,Long term Loans,CRISIL,D,2025-12-05,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
M K M Diamonds Pvt. Ltd.,Non-government debt,CARE,D,2025-08-06,MEDIUM,Jewellery/Gems,YES,CARE,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,Non-government debt,CARE,BB+/A4,2025-12-02,MEDIUM,Jewellery/Gems,YES,CARE,1,Non-government debt,Rating Watch,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Neysa Jewellery Ltd.,Fund based financial facility/instrument,CRISIL,D,2025-08-20,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Fund based financial facility/instrument | Term loans,Initial Rating,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Osia Jewels Pvt. Ltd.,Long term Loans,CRISIL,D,2025-08-11,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Patdiam Jewellery Ltd.,Non-government debt,IND-RA,B-/A4,2025-11-24,MEDIUM,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Downgraded,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Phorum Jewels Ltd.,Long term Loans,CRISIL,D,2025-10-29,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Pretty Jewellery Pvt. Ltd.,Short-term loan,CRISIL,D,2025-09-23,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Short-term loan,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Radha Mohan Purshottam Das Jewels Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-11-14,MEDIUM,Jewellery/Gems,YES,BRICKWORK,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Radhey Shyam Jewellers Pvt. Ltd.,Term loans,CRISIL,B+,2025-11-05,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Raghunandan Jewellers (Delhi) Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2025-08-21,MEDIUM,Jewellery/Gems,YES,IND-RA,1,Non-government debt,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Rasiklal Sankalchand Jewellers Pvt. Ltd.,Term loans,CRISIL,D,2025-10-13,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Rohit Jewellers Pvt. Ltd.,Letter Of credit,CARE,D,2025-12-08,MEDIUM,Jewellery/Gems,YES,CARE,1,Letter Of credit,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sanghavi Jewel Pvt. Ltd.,Non-fund-based financial facility/instrument,CARE,D,2025-09-29,MEDIUM,Jewellery/Gems,YES,CARE,1,Non-fund-based financial facility/instrument,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Siddham Jewels Pvt. Ltd.,Long term Loans,CRISIL,D,2025-08-28,MEDIUM,Jewellery/Gems,YES,CRISIL,1,Long term Loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Zaaci Diamonds India Pvt. Ltd.,Term loans,IND-RA,D,2025-07-18,MEDIUM,Jewellery/Gems,YES,IND-RA,1,Term loans,Reaffirmed,D365,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Aurum Jewels Limited,Long Term Facilities,Infomerics,IVR BB+ (INC)(Downgraded),2025-07-16,MEDIUM,Jewellery/Gems,YES,Infomerics,1,Long Term Facilities | Proposed Long Term Facilities,,Infomerics,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Parin Gems,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Reaffirmed),2025-08-14,MEDIUM,Jewellery/Gems,YES,Infomerics,1,Long Term Bank Facilities,,Infomerics,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
R.R. Gold & Diamonds,Long Term Bank Facilities,Infomerics,IVR BB- (INC)(Downgraded),2025-09-08,MEDIUM,Jewellery/Gems,YES,Infomerics,1,Long Term Bank Facilities,,Infomerics,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Sumatichand Gouti Jewellers Private Limited,Long Term Facilities,Infomerics,IVR D (INC)(Downgraded),2025-09-11,MEDIUM,Jewellery/Gems,YES,Infomerics,1,Long Term Facilities,,Infomerics,4,INC — issuer not cooperating with current rater | Approaching renewal (6-12 months),"INC with current rater — ACER offers fresh start, analyst accessibility"
Orra Fine Jewellery Pvt. Ltd.,Non-government debt,ICRA,BB+/A4+,2025-06-30,MEDIUM,Jewellery/Gems,NO,ICRA | Infomerics,2,Non-government debt,Withdrawn,Both,3,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"Multi-agency experience — pitch ACER as faster, cheaper alternative"
Swarnsarita Jewels India Ltd.,Term loans,ICRA,BB+,2025-11-06,MEDIUM,Jewellery/Gems,NO,ICRA | Infomerics,2,Term loans,Withdrawn,Both,3,Multi-agency (2 raters) — open to new entrant | Approaching renewal (6-12 months),"Multi-agency experience — pitch ACER as faster, cheaper alternative"
Anabh Gems Pvt. Ltd.,Term loans,CARE,BB,2025-08-05,MEDIUM,Jewellery/Gems,NO,CARE,1,Term loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Anand Jewels (Indore) Pvt. Ltd.,Non-government debt,ICRA,BBB+/A2,2025-12-12,MEDIUM,Jewellery/Gems,NO,ICRA,1,Non-government debt | Term loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Anja Jewels Pvt. Ltd.,Non-government debt,CARE,BBB-/A3,2025-12-02,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Initial Rating,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Ariha Diamond Jewellery Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB+,2025-06-20,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument | Long term Loans,Upgraded,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Bhima & Brother Bullion Pvt. Ltd.,Long term Loans,CRISIL,BBB+,2025-07-23,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Long term Loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Bhima Jewels Pvt. Ltd.,Non-government debt,CARE,A-/A2+,2025-09-01,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Initial Rating,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Derewala Jewellery Mfg. Co. Pvt. Ltd.,Letter Of credit,CARE,A 3+,2025-10-01,MEDIUM,Jewellery/Gems,NO,CARE,1,Letter Of credit | Non-government debt | Term loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Dharmanandan Diamonds Pvt. Ltd.,Non-government debt,ICRA,A-/A2+,2025-09-23,MEDIUM,Jewellery/Gems,NO,ICRA,1,Non-government debt,Rating Watch,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Diabu Diamond Tools India Pvt. Ltd.,Letter Of credit,ACUITE,A 4+,2025-10-29,MEDIUM,Jewellery/Gems,NO,ACUITE,1,Letter Of credit | Long term Loans | Term loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Diamond India Ltd.,Non-fund-based financial facility/instrument,CRISIL,A-,2025-06-30,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Bank Guarantee | Non-fund-based financial facility/instrument,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Diatrends Jewellery Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2025-07-01,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Dimexon Diamonds Ltd.,Non-government debt,CARE,BBB+/A2,2025-09-09,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Gajaananda Jewellery Mart India Pvt. Ltd.,Non-government debt,ICRA,A-/A2+,2025-08-04,MEDIUM,Jewellery/Gems,NO,ICRA,1,Non-government debt,Initial Rating,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Gold Star Diamond Pvt. Ltd.,Long term Loans,ACUITE,A-,2025-09-08,MEDIUM,Jewellery/Gems,NO,ACUITE,1,Long term Loans,Withdrawn,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Gold Star Jewellery Pvt. Ltd.,Long term Loans,ACUITE,A-,2025-09-08,MEDIUM,Jewellery/Gems,NO,ACUITE,1,Long term Loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
K G K Diamonds (I) Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB-,2025-08-01,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Keshav Jewellers (India) Pvt. Ltd.,Term loans,BRICKWORK,BBB-,2025-09-25,MEDIUM,Jewellery/Gems,NO,BRICKWORK,1,Term loans,Initial Rating,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Kirtilal Kalidas Jewellers Pvt. Ltd.,Non-government debt,ICRA,BBB+/A2,2025-11-07,MEDIUM,Jewellery/Gems,NO,ICRA,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Lala Kashi Nath Seth Jewellers Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,BBB-,2025-06-25,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
M B M G Diamonds Pvt. Ltd.,Non-government debt,CARE,A/A2+,2025-10-09,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
M Suresh Jewellery Pvt. Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 2,2025-09-05,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Manoj Vaibhav Gems 'N' Jewellers Ltd.,Fund based financial facility/instrument,ICRA,A-,2025-07-07,MEDIUM,Jewellery/Gems,NO,ICRA,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Upgraded,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
P N G S Reva Diamond Jewellery Ltd.,Non-government debt,CARE,BBB+/A2,2025-10-31,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Parishi Diamond Pvt. Ltd.,Non-government debt,CARE,BB+/A4+,2025-09-02,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Downgraded,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Parth Diamond Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2025-10-28,MEDIUM,Jewellery/Gems,NO,ACUITE,1,Bank Guarantee,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Priority Jewels Ltd.,Non-government debt,CARE,BBB/A3+,2025-10-09,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
S Vinodkumar Diamonds Pvt. Ltd.,Non-government debt,CARE,A-/A2+,2025-10-01,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Shairu Gems Diamonds Pvt Ltd.,Non-fund-based financial facility/instrument,CRISIL,A 4+,2025-09-05,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Downgraded,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Sidds Jewels Pvt. Ltd.,Non-government debt,CARE,D,2025-07-04,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt | Term loans,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Swarn Shilp Chains & Jewellers Pvt. Ltd.,Fund based financial facility/instrument,CRISIL,A,2025-10-10,MEDIUM,Jewellery/Gems,NO,CRISIL,1,Fund based financial facility/instrument,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Trident Jewels Pvt. Ltd.,Non-government debt,CARE,BBB/A3+,2025-08-26,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Initial Rating,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Uni Design Elite Jewellery Pvt. Ltd.,Non-government debt,CARE,A/A2+,2025-10-09,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
Uni-Design Jewellery Pvt. Ltd.,Non-government debt,CARE,A/A2+,2025-10-09,MEDIUM,Jewellery/Gems,NO,CARE,1,Non-government debt,Reaffirmed,D365,2,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage
