Company Name,All Instruments,Latest Instrument,Current Rater(s),Latest Rater,Rater Count,Rating,Rating Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Why Target,ACER Pitch Angle
Green Agro Pack Pvt. Ltd.,Letter Of credit | Term loans,Letter Of credit,CRISIL,CRISIL,1,D,Reaffirmed,2025-05-14,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
H R Rice Mills Pvt. Ltd.,Bank Guarantee | Long term Loans,Bank Guarantee,CRISIL,CRISIL,1,A 4,Reaffirmed,2025-05-21,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Hardayal Milk Products Pvt. Ltd.,Term loans,Term loans,CARE,CARE,1,D,Reaffirmed,2025-05-12,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Lakshya Food (India) Ltd.,Term loans,Term loans,CARE,CARE,1,B-,Reaffirmed,2025-06-04,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Limtex Agri Udyog Ltd.,Long term Loans | Short-term loan,Long term Loans,ICRA,ICRA,1,D,Withdrawn,2025-06-13,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Madhucon Sugar & Power Inds. Ltd.,Term loans,Term loans,ICRA,ICRA,1,D,Reaffirmed,2025-05-23,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Maharaja Roller Flour Mills Jalna Pvt. Ltd.,Term loans,Term loans,BRICKWORK,BRICKWORK,1,D,Reaffirmed,2025-05-23,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Majumder Agro Inds. Pvt. Ltd.,Term loans,Term loans,CRISIL,CRISIL,1,BB,Reaffirmed,2025-05-30,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Mauli Fresh Agro Inds. Pvt. Ltd.,Term loans,Term loans,ICRA,ICRA,1,B+,Reaffirmed,2025-05-23,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Mundra Agro Pvt. Ltd.,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,CRISIL,CRISIL,1,B+,Reaffirmed,2025-06-12,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Nandi Grain Derivatives Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,CARE,CARE,1,D,Reaffirmed,2025-05-28,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Naturo Food & Fruit Products Pvt. Ltd.,Long term Loans,Long term Loans,CRISIL,CRISIL,1,B,Reaffirmed,2025-05-30,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Pandhari Milk Pvt. Ltd.,Term loans,Term loans,BRICKWORK,BRICKWORK,1,D,Reaffirmed,2025-06-05,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Purandar Milk & Agro Products Ltd.,Term loans,Term loans,ICRA,ICRA,1,D,Reaffirmed,2025-05-09,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
R N K Agro & Chemicals Pvt. Ltd.,Term loans,Term loans,CRISIL,CRISIL,1,B+,Reaffirmed,2025-05-30,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Satchidananda Agro Tech Pvt. Ltd.,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,CRISIL,CRISIL,1,A 4,Reaffirmed,2025-06-13,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Sathyam Roller Flour Mills Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,BRICKWORK,BRICKWORK,1,A 4,Reaffirmed,2025-06-11,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Shrinathji Agro Food Inds. Pvt. Ltd.,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,CRISIL,CRISIL,1,A 4,Reaffirmed,2025-06-13,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Siddhashram Rice Mills Cluster Pvt. Ltd.,Term loans,Term loans,ACUITE,ACUITE,1,D,Reaffirmed,2025-05-23,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Siddhi Vinayak Roller Flour Mills Pvt. Ltd.,Long term Loans | Term loans,Long term Loans,CRISIL,CRISIL,1,B,Reaffirmed,2025-05-26,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Supreme Nutri Grain Pvt. Ltd.,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,ICRA,ICRA,1,A 4,Reaffirmed,2025-05-21,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
A.V. Agro Foods,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR B+ (INC)(Reaffirmed and withdrawn),,2023-12-27,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Abraq Agro Fresh LLP,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR B+ (INC)(Downgraded),,2025-02-19,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Agri Process Innovations & Technologies LLP,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB (INC)(Downgraded),,2025-04-23,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Avyukta Agro Impex Private Limited,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR B- (INC)(Downgraded),,2025-05-29,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Baba Kailashpati Agro Processing Private Limited,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR C+ (INC)(Downgraded),,2025-05-08,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Farm Fresh Kashmir,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR C+ (INC)(Downgraded),,2025-03-06,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
G M Sugar and Energy Limited,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB+ (INC)(Downgraded),,2025-02-14,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Genuine Agro Spices (Partnership),Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB (INC)(Downgraded),,2025-05-27,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Genuine Agro Spices (Proprietorship),Short Term Bank Facilities,Short Term Bank Facilities,Infomerics,Infomerics,1,IVR A4 (INC)(Downgraded),,2025-05-27,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
HMA Agro Industries Limited,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BBB+ (INC)(Reaffirmed and Withdrawn),,2023-06-19,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Immaculate Agro Spices Private Limited,Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB (INC)(Downgraded),,2025-05-27,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Kamco Chew Food Private Limited (KCFPL),Long Term Bank Facilities | Short Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB+ (INC)(Downgraded),,2025-04-21,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Karnal Food Pack Cluster Limited,Long Term Bank Facility,Long Term Bank Facility,Infomerics,Infomerics,1,IVR B (INC)(Downgraded),,2024-12-20,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Kartick Chandra Agro Products Private Limited,Long Term Bank Facility,Long Term Bank Facility,Infomerics,Infomerics,1,IVR C (INC)(Reaffirmed),,2025-01-24,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
N.P. Agro (India) Industries Private Limited (NPAIIPL) (Erstwhile N.P. Agro (India) Industries Limited),Long Term Bank Facilities | Long Term/Short Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR D (INC)(Reaffirmed and Withdrawn),,2023-11-07,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
New Leaf Tea Plantation Private Limited,Long Term Facilities | Short Term Facilities,Long Term Facilities,Infomerics,Infomerics,1,IVR B- (INC)(Reaffirmed),,2025-06-02,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Panchal Agro Fresh,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR C+ (INC)(Downgraded),,2024-11-27,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Santhagarik Agro Private Limited,Long Term Facilities,Long Term Facilities,Infomerics,Infomerics,1,IVR C+ (INC) (Downgraded),,2025-05-08,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Shree Durga Khandsari (Sugar) Mills,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB (INC) (Downgraded),,2025-01-23,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Thakur Agro Products,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR B (INC)(Downgraded),,2025-04-01,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Varun Agro Processing Foods Private Limited,Long Term Bank Facilities,Long Term Bank Facilities,Infomerics,Infomerics,1,IVR BB- (INC)(Downgraded),,2025-02-28,HIGH,5,YES,Agro/Food,INC — rater relationship broken | Rating overdue (>12 months) | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Rating 12+ months overdue — renewal urgency NOW | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Al-Hamd Agro Food Products Pvt. Ltd.,Term loans,Term loans,BRICKWORK | Infomerics,BRICKWORK,2,B-,Reaffirmed,2025-10-09,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Ali Afzal Flour Mill Ltd.,Fund based financial facility/instrument | Long term Loans | Term loans,Fund based financial facility/instrument,ACUITE | BRICKWORK,BRICKWORK,2,B,Reaffirmed,2025-12-02,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Amitex Agro Product Pvt. Ltd.,Long term Loans | Term loans,Long term Loans,CRISIL | IND-RA | Infomerics,CRISIL,3,B,Reaffirmed,2025-12-11,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Aqua Machineries Pvt. Ltd.,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Long term Loans | Non-government debt,Bank Guarantee,ACUITE | BRICKWORK | CRISIL,BRICKWORK,3,A 3,Upgraded,2025-12-03,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Ashirvad Food Products Pvt. Ltd.,Bank Guarantee | Long term Loans | Non-fund based working capital limit | Term loans,Bank Guarantee,CRISIL | IND-RA | Infomerics,CRISIL,3,A 4+,Reaffirmed,2025-12-08,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
B K Agro Products Pvt. Ltd.,Bank Guarantee | Term loans,Bank Guarantee,CARE | CRISIL,CRISIL,2,A 4+,Downgraded,2025-07-09,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Balaji Acqua & Agro Products Pvt. Ltd.,Term loans,Term loans,CARE | IND-RA,CARE,2,B-,Reaffirmed,2025-10-13,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
Baroda Agro Chemicals Ltd.,Letter Of credit | Long term Loans | Non-fund-based financial facility/instrument | Short-term loan | Term loans,Non-fund-based financial facility/instrument,BRICKWORK | CARE | ICRA,ICRA,3,D,Withdrawn,2025-12-11,MEDIUM,5,YES,Agro/Food,INC — rater relationship broken | Multi-agency | Agro/Food sector — peak season timing,"INC company — Infomerics/Brickwork not cooperating, perfect switching moment | Multi-agency history — open to new raters | Pre-Kharif season (June–July) = peak AgriCredit demand — ideal timing for fresh rating"
