Company_Name,Instrument_Type,Current_Rater,Rating,Rating_Date,Urgency,Is_INC,Tier,Sector,State,Why_Target,ACER_Pitch_Angle,Source
Buttar Biofuels Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Upgraded),"February 10, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Bvishal Oil and Energy Limited (BVOEL),Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"May 15, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Cardinal Energy & Infrastructure Private Limited,Long Term Facilities,Infomerics,IVR BBB (Reaffirmed and Withdrawn),"June 17, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Core Energy Systems Limited,Short Term Bank Facilities,Infomerics,IVR A3+ (Upgraded),"January 14, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Doosan Power Systems India Private Limited,Long Term Bank Facility,Infomerics,IVR BBB- (Assigned),"May 23, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Eco Cane Sugar Energy Limited,Proposed Short Term  Bank Facilities - Bill  Discounting,Infomerics,IVR D (Reaffirmed & Withdrawn),"March 7, 2022",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Ecofora Energy Biofuels Private Limited,Short term Bank Facilities,Infomerics,IVR A3 (Assigned),"May 6, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Electrosteel Castings Limited,Outstanding Non-Convertible Debentures (NCD) - Series VI,Infomerics,IVR A (Withdrawn),"May 29, 2019",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Four EF Renewables Private Limited,Long Term Bank Facilities,Infomerics,IVR A (Assigned),"January 23, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
GMR Energy Trading Limited,Long Term Facilities,Infomerics,IVR BB (Reaffirmed),"May 7, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
GMR Power and Urban Infra Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"March 3, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Galaxy Transmissions Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"January 1, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Gautam Solar Private Limited,Short Term Bank Facilities - Bank Guarantee,Infomerics,IVR A4 (Reaffirmed and Withdrawn),"May 15, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Hariom Ingots and Power Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (Downgraded),"December 3, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
IA Hydro Energy Private Limited,Long Term Facilities,Infomerics,IVR A+ (CE)(Upgraded),"March 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
IC Electricals Company Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),"January 7, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
IL&FS Tamil Nadu Power Company Limited,Long Term Facilities,Infomerics,IVR BBB- (Assigned),"March 31, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
India Power Corporation Limited,Proposed Long Term/Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Assigned),"March 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Ivy Ecoenergy India Private Limited,Long Term Facilities,Infomerics,IVR AA+ (Upgraded and Withdrawn),"August 13, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
JSR Grain Energy Private Limited,Short Term Bank Facility,Infomerics,IVR A3 (Assigned),"April 23, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Kamakhya Biofuels Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"April 1, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Karnikripa Power Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Assigned),"February 14, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Krivi Energy Private Limited (Erstwhile Krivi-Tex Private Limited),Short term Bank Facilities - Proposed Letter of Credit,Infomerics,IVR A3+ (Reaffirmed),"December 19, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Lalitpur Power Generation Company Limited,Long Term / Short Term Bank Facilities,Infomerics,IVR AA-/IVR A1+; (Reaffirmed),"May 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Laxmikripa Steels & Power Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"March 27, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
MB Sponge & Power Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed and Withdrawn),"October 26, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Mayfair Renewable Energy (India) Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"October 9, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Micromax Biofuels Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"April 3, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Mpower Infratech India Private Limited,Long Term Facilities,Infomerics,IVR BBB-,"January 27, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Navitas Solar Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"January 29, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
New Laxmi Steel and Power Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed & Withdrawn),"July 18, 2022",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Nivaya Resources Private Limited (Formerly known as GP Global Energy Pvt Ltd),Long Term Bank Facilities,Infomerics,Withdrawn,"June 17, 2022",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Nucleus Energy Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"June 8, 2022",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Nutan Ispat and Power Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Assigned),"February 14, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
O2 Renewable Energy XIV Private Limited,Short Term Bank Facilities,Infomerics,IVR A1 (Assigned),"March 3, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Orient Green Power Company Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"September 13, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
PMI Electro Mobility Solutions Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Withdrawn) (Upgraded),"October 15, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Precision Power Products (India) Private Limited,Proposed Long Term Fund Based Facility,Infomerics,IVR BB (ISSUER NOT COOPERATING),"June 2, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
R. R. Energy Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed and Withdrawn),"June 17, 2021",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
RAIC Integrated Sponge & Power Private Limited,Short Term Bank Facilities,Infomerics,IVR A2+ (Reaffirmed and Withdrawn),"October 16, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
RNS Power Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"April 26, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Radiance Alloy & Electricals Private Limited,Proposed Long Term Facilities,Infomerics,IVR BB (Assigned),"March 31, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Raichur Sholapur Transmission Company Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"December 12, 2022",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Rama Power and Steel Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"April 27, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Rashmi Sponge Iron And Power Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"February 5, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
SBL Energy Limited,Short Term Bank Facilities,Infomerics,IVR A2+ (Upgraded),"April 23, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
SMC Power Generation Limited,Short Term Bank Facilities,Infomerics,IVR A2 (Reaffirmed),"March 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sambhv Sponge Power Private Limited,Short Term Non Fund Based Facility - Letter of Credit,Infomerics,IVR A4 (Assigned and Withdrawn),"June 11, 2021",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sanvijay Alloys and Power Limited (SAPL),Long Term Facilities - Proposed Term Loan,Infomerics,Withdrawn,"March 26, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Scan Energy & Power Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"March 21, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sharvari Electricals,Short Term Non Fund based Facility - Bank Guarantee and Letter of Credit,Infomerics,Withdrawn,"July 22, 2022",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Shivalik Power & Steel Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"September 28, 2023",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Shraddha Energy And Infraprojects Private Limited,Proposed Long Term Bank Facilities,Infomerics,IVR BB (Reaffirmed)(Withdrawn),"June 18, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Shreeyam Power And Steel Industries Limited,Short Term Bank Facilities,Infomerics,IVR A2 (Assigned),"March 17, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Shri Bajrang Power & Ispat Limited,Short Term Facilities,Infomerics,IVR A1 (Reaffirmed),"March 28, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Shyama Power India Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"February 18, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sindh Renewable Power Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Assigned),"March 17, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sivana Steel & Power Private Limited,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),"March 29, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sky Alloys and Power Limited,Long Term Bank Facilities,Infomerics,IVR A- (Reaffirmed)(Withdrawn),"February 10, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Solarcraft TN 1 Private Limited (erstwhile NVR Energy Private Limited),Cash Credit/ WCDL,Infomerics,IVR BBB (Reaffirmed and Withdrawn),"April 1, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Solarcraft Tuticorin 2 Private Limited (erstwhile Narbheram Solar TN Private Limited),Term Loan,Infomerics,Withdrawn,"April 1, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Solarfusion Renewables Private Limited,Long/Short Term Bank Facilities,Infomerics,IVR BB-/IVR A4; (Assigned),"March 7, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sova Electrocasting Limited,Long Term Bank Facilities,Infomerics,IVR C (Assigned),"March 11, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sova Solar Limited,Short Term Bank Instruments,Infomerics,IVR A2 (Reaffirmed),"February 27, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Sunil Ispat and Power Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Assigned),"February 14, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Susan Electricals India Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Upgraded),"June 16, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Suyash Biofuels Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Assigned),"May 26, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Svaryu Energy Limited (Erstwhile Refex Energy Limited),Long Term Fund Based Bank Facilities - Proposed Cash Credit,Infomerics,IVR D (Reaffirmed and Withdrawn),"February 13, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Telawne Power Equipments Private Limited,Short Term Bank Facilities - BG,Infomerics,IVR A3 (Upgraded),"January 15, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Telmos Electronics,Long Term Bank Facilities,Infomerics,IVR BB (Assigned),"April 4, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Teq Green Power XV Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Assigned),"March 25, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Udagiri Sugar and Power Limited,Long Term Bank Facilities- Term Loan,Infomerics,IVR BBB- (Assigned),"February 4, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
V C Green Energy Private Limited,Short Term Facilities,Infomerics,IVR A4+ (Assigned),"January 29, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Vanilla Clean Power Private Limited,Long Term Instruments/ Facilities,Infomerics,IVR AA+ (Upgraded and Withdrawn),"August 13, 2024",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Ven Malar Wind Energy Private Limited,Proposed Long Term Bank Facilities,Infomerics,IVR BB- (Assigned),"April 15, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Vijay Transmission Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Upgraded),"March 20, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
West Bengal State Electricity Distribution Company Limited,Secured Redeemable Bond Issue - Series I Tranche I,Infomerics,IVR BBB-,"June 2, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Windeson Trademart Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"March 25, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Windlass Steelcrafts LLP,Short Term Bank Facilities,Infomerics,IVR A4+ (Assigned),"March 26, 2025",HIGH,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
ABI Energy Solutions Limited (erstwhile Aarvanss Buildwell and Infracon LLP),Long Term Bank Facilities,Infomerics,IVR BB (Upgraded and Withdrawn),"January 5, 2026",LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Ambashakti Bio Energy Private Limited,Long Term Bank Facilities â€“ Term Loan,Infomerics,IVR BBB- (Reaffirmed),"January 19, 2026",LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Anvil Energy Private Limited (erstwhile Anvil Cables Private Limited),Long Term Bank Facilities,Infomerics,IVR BBB+ (Reaffirmed),"January 27, 2026",LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
Asiatic Electricals & Switchgear Private Limited,Short Term Facilities,Infomerics,IVR A4+ (Upgraded and Withdrawn),"January 6, 2026",LOW,False,ACTIVE,Energy / Power / Renewables,Unknown,Active Infomerics client approaching renewal. ACER faster turnaround pitch.,Active Infomerics client. ACER competitive pricing angle.,Infomerics
