Company Name,Instrument Type,Current Rater,Rating,Rating Date,Urgency,INC,Sector,Why Target,ACER Pitch Angle
Truvolt Engineering Company Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Truvolt Engineering Company Private Limited,Short Term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Truvolt Engineering Company Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
VRKP Steel Industries Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"January 25, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Santpuria Alloys Private Limited,Long Term Facilities,Infomerics,IVR BBB+ (Upgraded and Withdrawn),"May 14, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Santpuria Alloys Private Limited,Short Term Facilities,Infomerics,IVR A2 (Upgraded and Withdrawn),"May 14, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Tuaman Engineering Limited,Long Term Bank Facilities,Infomerics,IVR A- (Reaffirmed),"January 16, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Tuaman Engineering Limited,Long/Short Term Bank Facilities,Infomerics,IVR A-/IVR A2+; (Reaffirmed),"January 16, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Hillman Hosiery Mills Private Limited,Long Term Bank Facilities,Infomerics,IVR B- (INC)(Downgraded),"May 8, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Glass Wall Systems (India) Private Limited,Long Term Fund based facility- Cash Credit,Infomerics,IVR BB+ (Assigned & Withdrawn),"August 9, 2021",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Glass Wall Systems (India) Private Limited,Short-Term Non-Fund based facility Bank Guarantee,Infomerics,IVR A4+ (Assigned & Withdrawn),"August 9, 2021",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
"BKM Industries Limited (Formerly, Manaksia Industries Ltd)",Corporate Governance Rating,Infomerics,IVR CGR 3+ (Withdrawn),"February 21, 2018",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Deevyashakti India Private Limited (Erstwhile Deevya Shakti Paper Mills Private Limited),Long Term Facilities,Infomerics,IVR BBB+ (Downgraded),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Deevyashakti India Private Limited (Erstwhile Deevya Shakti Paper Mills Private Limited),Short Term Facilities,Infomerics,IVR A2 (Downgraded),"January 10, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Manaksia Industries - Commercial Paper,Commercial Paper,Infomerics,IVR A2+ (Withdrawn),"February 19, 2018",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Manaksia Industries - Corporate Governance,Corporate Governance Rating,Infomerics,IVR CGR 3+ (Withdrawn),"February 21, 2018",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sun Paper Mill Limited,Proposed Long Term Bank Facility - Proposed Term Loan,Infomerics,IVR B (INC)(Downgraded),"April 2, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sun Paper Mill Limited,Proposed Long Term Bank Facility - Proposed Term Loan,Infomerics,IVR B (INC)(Downgraded),"April 2, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sun Paper Mill Limited,Long Term Fund Based Bank Facility - OCC,Infomerics,IVR B (INC)(Downgraded),"April 2, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sun Paper Mill Limited,Short Term Non-Fund Based Bank Facility - Letter of Credit,Infomerics,IVR A4 (INC)(Reaffirmed),"April 2, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sri Ram Cables Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"September 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Sri Ram Cables Private Limited,Proposed long term/Short term Facilities,Infomerics,Withdrawn,"September 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
AIC Iron Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR A- (Reaffirmed and Withdrawn),"October 16, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
AIC Iron Industries Private Limited,Short Term Bank Facilities,Infomerics,IVR A2+ (Reaffirmed and Withdrawn),"October 16, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
FPL Automobiles Private Limited,Long term Bank Facilities,Infomerics,IVR BBB- (Reaffirmed),"February 13, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
FPL Automobiles Private Limited,Short term Bank Facilities,Infomerics,IVR A3 (Reaffirmed),"February 13, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
PTC Industries Limited,Long Term fund-based Bank Facilities - Term Loans,Infomerics,IVR BBB (Downgraded) (Withdrawn),"September 16, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
PTC Industries Limited,Long Term fund-based Bank Facilities - Cash Credit,Infomerics,IVR BBB (Downgraded) (Withdrawn),"September 16, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
PTC Industries Limited,Short Term fund-based Bank Facilities - EPC/PCFC/FBP/FBD/SLC,Infomerics,IVR A3+ (Downgraded and Withdrawn),"September 16, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
PTC Industries Limited,Short Term Non-fund-based Bank Facilities - LCs,Infomerics,IVR A3+ (Downgraded and Withdrawn),"September 16, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Lords Mark Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"May 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Lords Mark Industries Limited,Short Term Bank Facilities,Infomerics,IVR A2 (Upgraded),"May 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Metallic Ferro Alloys LLP,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"May 30, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Metallic Ferro Alloys LLP,Short Term Bank Facilities,Infomerics,IVR A3+ (Reaffirmed),"May 30, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Deccan Ferro Alloys Private Limited,Long Term Fund Based Facility,Infomerics,IVR BB+ (INC)(Reaffirmed and Withdrawn),"January 8, 2022",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Deccan Ferro Alloys Private Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (INC)(Reaffirmed and Withdrawn),"January 8, 2022",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),"May 19, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 19, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Mittal Pigments Private Limited,Long Term Bank Facilities,Infomerics,IVR A (Upgraded),"January 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Mittal Pigments Private Limited,Short Term Bank Facilities,Infomerics,IVR A1 (Upgraded),"January 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Engineering Limited,Optionally Convertibles Debentures (OCD),Infomerics,IVR A- (Reaffirmed),"June 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Engineering Limited,Long term Bank Facilities (incl. proposed),Infomerics,IVR A- (Reaffirmed),"June 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Engineering Limited,Short Term Bank Facilities  (incl. proposed),Infomerics,IVR A2+ (Reaffirmed),"June 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Agri Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"May 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Long Term Bank Facilities,Infomerics,IVR C (Downgraded),"March 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Long Term Bank Facilities,Infomerics,IVR BB-/Negative; ISSUER NOT COOPERATING,"March 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Proposed Long Term Non- Fund based Bank Facilities - Bank Guarantee,Infomerics,IVR BB-/Negative; ISSUER NOT COOPERATING,"March 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gainup Industries India Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"March 13, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gainup Industries India Private Limited,Short Term Bank Facilities,Infomerics,IVR A3+ (Reaffirmed),"March 13, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Oplus Casting Private Limited,Long-Term Bank Facility -Term Loan (Proposed),Infomerics,Provisional IVR BBB- (CE)  (Withdrawn),"October 20, 2020",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Oplus Casting Private Limited,Long-Term Bank Facility-Cash Credit (Proposed),Infomerics,Provisional IVR BBB- (CE)  (Withdrawn),"October 20, 2020",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Goa Industrial Development Corporation,Long Term Fund Based Bank Facility - Term Loan,Infomerics,Withdrawn,"January 25, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabrimax Engineering Private Limited,Long Term Facilities,Infomerics,IVR BBB+ (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabrimax Engineering Private Limited,Short term Facilities,Infomerics,IVR A2 (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabtech Engineering Private Limited,Long Term Facilities,Infomerics,IVR BBB+ (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabtech Engineering Private Limited,Short term Facilities,Infomerics,IVR A2 (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
HMA Agro Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),"June 19, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyash Aluminium & Alloys Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"March 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyash Aluminium & Alloys Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Reaffirmed),"March 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyash Aluminium & Alloys Private Limited,Short Term Bank Facility,Infomerics,IVR A3 (Reaffirmed),"March 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Uttam Industrial Engineering Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Upgraded and Withdrawn),"January 15, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Uttam Industrial Engineering Private Limited,Short Term Bank Facilities,Infomerics,Withdrawn,"January 15, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Uttam Industrial Engineering Private Limited,Long/Short Term Bank Facilities,Infomerics,Withdrawn,"January 15, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Krishna Paper Mills & Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed and Withdrawn),"February 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Krishna Paper Mills & Industries Limited,Long Term Bank Facilities (Proposed),Infomerics,IVR BB+ (Reaffirmed and Withdrawn),"February 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Krishna Paper Mills & Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (Reaffirmed and Withdrawn),"February 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Finolite Ceramic,Long Term Bank Facilities,Infomerics,IVR C- (INC)(Downgraded),"May 19, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Finolite Ceramic,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 19, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Mittal Pigments Private Limited,Long Term Bank Facilities,Infomerics,IVR A (Upgraded),"January 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Mittal Pigments Private Limited,Short Term Bank Facilities,Infomerics,IVR A1 (Upgraded),"January 27, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Engineering Limited,Optionally Convertibles Debentures (OCD),Infomerics,IVR A- (Reaffirmed),"June 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Engineering Limited,Long term Bank Facilities (incl. proposed),Infomerics,IVR A- (Reaffirmed),"June 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Engineering Limited,Short Term Bank Facilities  (incl. proposed),Infomerics,IVR A2+ (Reaffirmed),"June 6, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Patel Agri Industries Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (Upgraded),"May 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Long Term Bank Facilities,Infomerics,IVR C (Downgraded),"March 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Long Term Bank Facilities,Infomerics,IVR BB-/Negative; ISSUER NOT COOPERATING,"March 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Jain Engineering Works (India) Private Limited (Erstwhile Jain Engineering Works),Proposed Long Term Non- Fund based Bank Facilities - Bank Guarantee,Infomerics,IVR BB-/Negative; ISSUER NOT COOPERATING,"March 20, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gainup Industries India Private Limited,Long Term Bank Facilities,Infomerics,IVR BBB (Reaffirmed),"March 13, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Gainup Industries India Private Limited,Short Term Bank Facilities,Infomerics,IVR A3+ (Reaffirmed),"March 13, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Oplus Casting Private Limited,Long-Term Bank Facility -Term Loan (Proposed),Infomerics,Provisional IVR BBB- (CE)  (Withdrawn),"October 20, 2020",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Oplus Casting Private Limited,Long-Term Bank Facility-Cash Credit (Proposed),Infomerics,Provisional IVR BBB- (CE)  (Withdrawn),"October 20, 2020",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Goa Industrial Development Corporation,Long Term Fund Based Bank Facility - Term Loan,Infomerics,Withdrawn,"January 25, 2023",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabrimax Engineering Private Limited,Long Term Facilities,Infomerics,IVR BBB+ (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabrimax Engineering Private Limited,Short term Facilities,Infomerics,IVR A2 (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabtech Engineering Private Limited,Long Term Facilities,Infomerics,IVR BBB+ (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Fabtech Engineering Private Limited,Short term Facilities,Infomerics,IVR A2 (Upgraded),"April 9, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
HMA Agro Industries Limited,Long Term Bank Facilities,Infomerics,IVR BBB+ (INC)(Reaffirmed and Withdrawn),"June 19, 2023",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyash Aluminium & Alloys Private Limited,Long Term Bank Facilities,Infomerics,Withdrawn,"March 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyash Aluminium & Alloys Private Limited,Long Term/ Short Term Bank Facilities,Infomerics,IVR BBB-/IVR A3; (Reaffirmed),"March 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shreyash Aluminium & Alloys Private Limited,Short Term Bank Facility,Infomerics,IVR A3 (Reaffirmed),"March 24, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Uttam Industrial Engineering Private Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Upgraded and Withdrawn),"January 15, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Uttam Industrial Engineering Private Limited,Short Term Bank Facilities,Infomerics,Withdrawn,"January 15, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Uttam Industrial Engineering Private Limited,Long/Short Term Bank Facilities,Infomerics,Withdrawn,"January 15, 2025",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Krishna Paper Mills & Industries Limited,Long Term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed and Withdrawn),"February 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Krishna Paper Mills & Industries Limited,Long Term Bank Facilities (Proposed),Infomerics,IVR BB+ (Reaffirmed and Withdrawn),"February 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Shree Krishna Paper Mills & Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4+ (Reaffirmed and Withdrawn),"February 20, 2024",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Anusaya Poly Products Industries,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),"April 1, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
NRC Industries Limited,Long Term Bank Facilities,Infomerics,IVR B+ (INC)(Downgraded),"May 5, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
NRC Industries Limited,Short Term Bank Facilities,Infomerics,IVR A4 (INC)(Reaffirmed),"May 5, 2025",HIGH,Y,Manufacturing,HIGH urgency Infomerics INC client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
Annapurna Industries,Long Term Bank Facilities,Infomerics,IVR BB+ (Reaffirmed and Withdrawn),"March 22, 2021",HIGH,N,Manufacturing,HIGH urgency Infomerics client — renewal overdue,Overdue renewal — ACER can rate fast; your lenders need active rating
