Company Name,Instrument Type,Current Rating Agency,Rating,Rating Date,Urgency,INC,Sector,State,Why Target,ACER Pitch Angle,Source
Valentis Cancer Care Hospital Private Limited,Long Term Bank Facilities,Infomerics,IVR B (INC)(Downgraded),2025-05-09,HIGH,YES,Healthcare,,"INC — mandate lapsed, decision imminent; Overdue 401d — overdue for renewal",ACER can step in as new rater with quick onboarding. Healthcare facilities rely on WC limits; Infomerics INC = frozen credit.,Infomerics
Abil Chempharma Pvt. Ltd.,Letter Of credit,BRICKWORK,A 4,2025-05-16,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 394d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Ashish Life Science Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-05-21,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 389d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Asolution Pharmaceuticals Pvt. Ltd.,Bank Guarantee,BRICKWORK,A 4,2025-05-21,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 389d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Biogenetic Drugs Pvt. Ltd.,Fund based financial facility/instrument,BRICKWORK,B+,2025-05-23,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 387d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Biotech International Ltd.,Bank Guarantee,CRISIL,A 4,2025-06-12,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 367d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Chandan Hospital Ltd.,Term loans,CRISIL,BB+,2025-05-07,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 403d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Chandra Bhagat Pharma Ltd.,Bank Guarantee,CARE,D,2025-05-30,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 380d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Health-Tech Chhattisgarh Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-05-21,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 389d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Healthfore Technologies Ltd.,Term loans,CARE,D,2025-05-20,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 390d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Indus Pharma Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-05-19,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 391d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Ireo Hospitality Co. Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2025-05-14,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 396d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Jabalpur Hospital & Research Centre Pvt. Ltd.,Term loans,CRISIL,B-,2025-05-15,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 395d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Jai Surgicals Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-15,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 395d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Lifeline Medical Devices Pvt. Ltd.,Term loans,BRICKWORK,C,2025-05-14,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 396d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
M S Life Drug House Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2025-05-14,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 396d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Mylab Discovery Solutions Pvt. Ltd.,Term loans,CARE,BB-,2025-05-14,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 396d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Phadnis Clinic Pvt. Ltd.,Term loans,CRISIL,B+,2025-05-15,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 395d — call now; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Pharmachem Industries (Gujarat) Pvt. Ltd.,Long term Loans,ACUITE,B+,2025-06-11,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 368d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Pooja Tiles & Sanitary Pvt. Ltd.,Term loans,BRICKWORK,D,2025-06-12,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 367d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Proton Positive Healthcare India Pvt. Ltd.,Term loans,BRICKWORK,C-,2025-05-12,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 398d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Proventus Life Sciences Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2025-05-29,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 381d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
S M P L Life Sciences Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-13,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 397d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Sarla Medical Centre Pvt. Ltd.,Long term Loans,CRISIL,D,2025-05-27,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 383d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Satyam Pharma-Chem Pvt. Ltd.,Bank Guarantee,ACUITE,A 4+,2025-05-26,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 384d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Sidhaant Life Sciences Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-31,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 379d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Sri Sudharsanam Hospital Pvt. Ltd.,Long term Loans,CRISIL,B+,2025-05-26,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 384d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Sun Hospital Pvt. Ltd.,Term loans,CRISIL,B,2025-05-26,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 384d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Vital Healthcare Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2025-05-27,HIGH,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Overdue 383d — call now",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Arion Healthcare,Long Term Bank Facilities,Infomerics,IVR C+ (INC)(Downgraded),2026-01-16,LOW,YES,Healthcare,,"INC — mandate lapsed, decision imminent",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
Blue Wheel National Health Care and Educational Trust,Long Term Bank Facility,Infomerics,IVR BB+ (INC and Withdrawn),2026-01-21,LOW,YES,Healthcare,,"INC — mandate lapsed, decision imminent",ACER can step in as new rater with quick onboarding. Pharmaceutical/diagnostic companies need reliable rater for bank credit lines.,Infomerics
KHFM Hospitality & Facility Management Services Limited,Long Term Bank Facilities,Infomerics,IVR D (INC) (Reaffirmed),2026-01-13,LOW,YES,Healthcare,,"INC — mandate lapsed, decision imminent",ACER can step in as new rater with quick onboarding. Healthcare facilities rely on WC limits; Infomerics INC = frozen credit.,Infomerics
Aastrid Life Sciences Pvt. Ltd.,Letter Of credit,CARE,A 4,2026-01-13,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Adishakti Medical Center Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2026-03-13,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Agog Pharma Ltd.,Bank Guarantee,BRICKWORK,A 4,2026-03-17,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Ajooni Biotech Ltd.,Fund based financial facility/instrument,CRISIL,BB+,2026-01-30,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Alchemist Hospitals Ltd.,Term loans,CARE,B,2026-04-08,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Apollo Polyvinyl Pvt. Ltd.,Letter Of credit,CARE,D,2026-04-13,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Arambhan Hospitality Services Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2026-02-19,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Archana Hospitals Pvt. Ltd.,Long term Loans,CRISIL,B,2026-04-21,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Asclepius Hospitals & Health Care Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-03-27,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (3 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Blue Ocean Biotech Pvt. Ltd.,Letter Of credit,CRISIL,A 4,2026-02-25,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Bochem Healthcare Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,D,2026-02-18,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Brijlal Hospital & Research Centre Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,2026-02-10,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Cennet Biopharma Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-02-27,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Chandulal Chandrakar Memorial Hospital,Term loans,CRISIL,D,2026-03-11,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Chayagraphics Healthcare Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2026-03-11,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Citi Care Hospital Pvt. Ltd.,Term loans,BRICKWORK,D,2026-03-26,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
D B R Sanjana Krishna Hospitals Pvt. Ltd.,Term loans,CRISIL,B,2026-02-25,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
D R M Hope Hospital Pvt. Ltd.,Long term Loans,ACUITE,D,2026-01-08,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
E M C Super Speciality Hospitals Pvt. Ltd.,Term loans,BRICKWORK,C,2026-03-20,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Eden Critical Care Hospital Ltd.,Bank Guarantee,BRICKWORK,D,2026-03-25,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Elysium Pharmaceuticals Ltd.,Non-government debt,IND-RA,BB-/A4+,2026-04-02,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Erawat Pharma Ltd.,Term loans,CRISIL,B,2026-02-25,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Eurolife Healthcare Pvt. Ltd.,Non-government debt,IND-RA,D,2026-03-04,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
G K B Ophthalmics Ltd.,Bank Guarantee,CRISIL,D,2025-12-23,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
G Surgiwear Ltd.,Fund based financial facility/instrument,BRICKWORK,BB,2026-03-24,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Garg Heart & Multispeciality Hospital Pvt. Ltd.,Term loans,BRICKWORK,B-,2026-02-23,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Hajra Medical Agency Pvt. Ltd.,Bank Guarantee,CARE,A 4,2026-04-20,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Harshamitra Oncology Pvt. Ltd.,Long term Loans,CRISIL,B,2026-02-23,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hayat Hospital Pvt. Ltd.,Term loans,BRICKWORK,C,2026-04-01,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Heidelco Medicore Pvt. Ltd.,Bank Guarantee,CRISIL,A 4,2026-04-09,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hemodiaz Life Sciences Pvt. Ltd.,Letter Of credit,CARE,A 4,2026-04-17,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Hercules Hospitalities Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Hi-Tech Pharmaceuticals Pvt. Ltd.,Long term Loans,ACUITE,B+,2026-04-24,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Indiana Hospital & Heart Institute Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2026-04-29,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Infinium Pharmachem Ltd.,Term loans,ACUITE,C,2026-02-20,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Itaan Pharma Pvt. Ltd.,Term loans,IND-RA,B,2026-03-20,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Jaahnavee Lifesciences Pvt. Ltd.,Long term Loans,CRISIL,B,2026-01-30,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Jajoo Surgicals Pvt. Ltd.,Non-government debt,IND-RA,B-/A4,2026-04-02,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Jell Pharmaceuticals Pvt. Ltd.,Fund based financial facility/instrument,ICRA,A 4,2026-03-30,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
K B K Biotech Pvt. Ltd.,Bank Guarantee,ICRA,A 4,2026-04-29,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Kaila Devi Health Care Services Pvt. Ltd.,Fund based financial facility/instrument,CARE,B-,2026-04-15,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Kakatiyan Medical Services Pvt. Ltd.,Term loans,BRICKWORK,C,2026-03-25,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Katara Dental Pvt. Ltd.,Term loans,CRISIL,B,2026-03-27,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Kims Super Speciality Hospital Pvt. Ltd.,Term loans,CARE,B-,2026-04-09,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Kohinoor Hospitals Pvt. Ltd.,Term loans,ICRA,D,2026-03-19,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Kox Med & Lab Pvt. Ltd.,Bank Guarantee,ACUITE,A 4,2026-01-28,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Leben Life Sciences Pvt. Ltd.,Non-government debt,IND-RA,B-,2025-12-19,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Mak Hospitals Pvt. Ltd.,Term loans,CARE,B-,2026-03-05,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
Mandar Health & Hygiene Pvt. Ltd.,Non-fund-based financial facility/instrument,ICRA,A 4,2026-01-20,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open; Multi-agency (2 raters) — open to alternatives",ACER offers faster turnaround and analyst accessibility vs established agencies. Diagnostic/biotech companies expanding with MSME lending — ACER sweet spot.,d365
Maxheal Pharmaceuticals (India) Ltd.,Bank Guarantee,CARE,A 4,2026-03-10,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Pharma distribution companies need LC ratings — Infomerics or Brickwork INC = opportunity.,d365
Medeor Hospital Ltd.,Term loans,CARE,D,2026-03-25,LOW,YES,Healthcare,,"INC — not cooperating with rater, mandate open",ACER offers faster turnaround and analyst accessibility vs established agencies. Hospital groups need annual ratings for term loans and WC — prime ACER target.,d365
