Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Quarter,Escalation_Month,Escalation_Date,HOT_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Call_Window,Also_In_Other_Quarter
Indraprastha Foods Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,42.25,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Chandresh Cables Ltd.,ACUITE,Term Loan,BB+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,31.16,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,28.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,27.5,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
J R M Foods Pvt. Ltd.,BRICKWORK,Fund-Based,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,25.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Turbhe Chemicals Pvt. Ltd.,CARE,NCD/Bond,B+/A4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,21.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Inox World Inds. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,20.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Mehar Mediserve LLP,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,20.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Mathan Caar Decors,Infomerics,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,20.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,18.48,IT/Technology,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Livenza Granito LLP,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,16.33,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Orient Steel & Inds. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,12.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Jagaran Microfin Pvt. Ltd.,ACUITE,Term Loan,BB,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,11.35,BFSI,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Sunil Sponge Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,10.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Narayani Coke Pvt. Ltd.,CARE,NCD/Bond,BB+/A4+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,9.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
J R M Foods Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,8.25,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Adachi Natural Polymer Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,6.5,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Vision India Tech Services Limited (Erstwhile Vision India Software Exports Limited),Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,5.9,IT/Technology,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Chandresh Cables Ltd.,ACUITE,Letter of Credit,A 4+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,5.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
G D Dyestuff Inds. Ltd.,IND-RA,Letter of Credit,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Yash Metal Impex Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,4.25,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Chandresh Cables Ltd.,ACUITE,Bank Guarantee,A 4+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
S V P Industries Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Livenza Granito LLP,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,4.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Orient Steel & Inds. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,3.5,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,3.44,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Viswaat Chemicals Ltd.,CARE,NCD/Bond,BB/A4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,3.0,Chemicals/Pharma,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
A B Grain Spirits Pvt. Ltd.,BRICKWORK,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,2.84,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Alfa-Therm Ltd.,CARE,NCD/Bond,B-/A4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,2.67,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Adachi Natural Polymer Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,2.45,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
G D Dyestuff Inds. Ltd.,IND-RA,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,2.38,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Ronak Processors Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,2.24,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Mohite Industries Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,2.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Turbhe Chemicals Pvt. Ltd.,CARE,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,1.68,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Aryavrata Steel Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,1.5,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Sonamoti Agrotech Pvt. Ltd.,CARE,Term Loan,B-,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,1.23,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Turbhe Chemicals Pvt. Ltd.,CARE,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,1.21,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Indraprastha Foods Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,0.75,Agro/Food,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-01 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
T C S & Associates Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,0.71,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Inox World Inds. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,0.4,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
G D Dyestuff Inds. Ltd.,IND-RA,Bank Guarantee,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,0.3,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Adachi Natural Polymer Ltd.,CARE,Non-Fund-Based,A 4,2025-12-01,HOT,Q1 2027,Dec 2026,2026-12-01,,0.04,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Non-Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Krishna Constellation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,223.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Laxmiroop Private Limited,Infomerics,Long Term Bank Facilities,IVR D (INC) (Reaffirmed),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,123.56,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Manohar Lal Sarraf & Sons Jewellers Pvt. Ltd.,CARE,NCD/Bond,BB+/A4,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,83.0,Jewellery,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
M R L Tyres Ltd.,CRISIL,Letter of Credit,A 4+,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,65.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,55.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Meenakshi Ammal Trust,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,55.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Goodwill Advance Construction Company Private Limited,Infomerics,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,40.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
K S D Construction,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,39.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Sri Satyanarayana Raw And Boiled Rice Mill Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,33.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Fuji Silvertech Concrete Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,30.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Fuji Silvertech Concrete Pvt. Ltd.,BRICKWORK,Term Loan,BB,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,27.48,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
M R L Tyres Ltd.,CRISIL,Term Loan,BB+,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,27.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
Goodwill Advance Construction Company Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,26.61,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
OP Gupta Contractor Private Limited,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,25.0,Construction,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Sewa Singh Oberoi and Company,Infomerics,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,21.0,Other,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
SVR Electricals Private Limited,Infomerics,Proposed Long Term/Short Term Non-Fund Based Bank Facility - Bank Guarantee,IVR C/IVR A4; (INC) (Downgraded/Reaffirmed),2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,18.75,Energy,Standard,Infomerics,INC rating hits ULTRA HOT on 2026-12-02 — exclusive Q1 2027 whitespace lead,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.,Sep–Oct 2026,No
Kashipur Infrastructure & Freight Terminal Pvt. Ltd.,BRICKWORK,Term Loan,BB-,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,18.49,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
S R Tranzcars Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,18.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
P M I Coaches Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-02,HOT,Q1 2027,Dec 2026,2026-12-02,,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-02 — prime Q1 2027 renewal target,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,Sep–Oct 2026,No
